Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
ACHENKIRCH,,	1987-08-01,	2017-01-31,Closed,Unknown,Land (fixed),0-20000-0-11328|primary,Europe,,Austria,47.5322227478,11.7052774429,904,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Closed,	2021-09-28,AUT NMHS
ACHENKIRCH CAMPINGPLATZ,,	2016-11-01,,Operational,Operational,Land (fixed),0-20000-0-11266|primary,Europe,,Austria,47.4994430542,11.7066669464,931,(unknown),UTC+1,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-10-06,Silke Adler
AFLENZ,,	1983-05-01,,Operational,Operational,Land (fixed),0-20000-0-11375|primary,Europe,,Austria,47.5458335876,15.2408332825,783,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-28,AUT NMHS
AIGEN IM ENNSTAL,,	1960-01-01,,Operational,Operational,Land (fixed),0-20000-0-11157|primary,Europe,,Austria,47.5327777778,14.1383333333,641.1,,,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;RBSN(S);SUNDUR;W/D* (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-12-04,Silke Adler
ALBERSCHWENDE,,	1995-11-01,,Operational,Operational,Land (fixed),0-20000-0-11301|primary,Europe,,Austria,47.4575004578,9.848610878,715,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;PH;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-28,AUT NMHS
ALLENTSTEIG,,	1990-01-01,,Operational,Operational,Land (fixed),0-20000-0-11019|primary,Europe,,Austria,48.6908333333,15.3669444444,598.8,,,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;METAR;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2020-04-22,Silke Adler
AMSTETTEN,,	1936-01-01,,Operational,Operational,Land (fixed),0-20000-0-11018|primary,Europe,,Austria,48.1088905334,14.8950004578,266,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-28,AUT NMHS
ANDAU,,	1995-08-01,,Operational,Operational,Land (fixed),0-20000-0-11395|primary,Europe,,Austria,47.770000457,17.035554885,117,,UTC+1,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hollows of low altitude,,"GBON:Operational, GOS General:Operational",	2021-10-05,Silke Adler
ARRIACH,,	1990-06-01,,Operational,Operational,Land (fixed),0-20000-0-11275|primary,Europe,,Austria,46.7277793884,13.8524999618,890,,UTC+1,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;PH;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,Snow - Fully humid - Warm summer,Closed (>40%) broadleaved deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of high altitude,,"GBON:Operational, GOS General:Operational",	2021-10-05,Silke Adler
BAD AUSSEE,,	1983-09-01,,Operational,Operational,Land (fixed),0-20000-0-11356|primary,Europe,,Austria,47.6105537415,13.7583332062,743,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-28,AUT NMHS
