Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
BABIN DO,,	2019-01-08,,Operational,Partly operational,Land (fixed),0-70-0-BabinDo|primary,Europe,,Bosnia and Herzegovina,43.715492,18.28469,1265,GPS,UTC+1,Federal Hydrometeorological Institute,http://fhmzbih.gov.ba/latinica/index.php,no,Automatic weather station. Station manufacturer is OTT,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,5|600,GOS General:Operational,	2023-06-05,Kemal SEHBAJRAKTAREVIC
BANJA LUKA,,	1892-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-14542|primary,Europe,,Bosnia and Herzegovina,44.7833333333,17.2166666667,153,,UTC+1,Republic Hydrometeorological Institute of Republic of Serbska,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AGRIMET;CLIMAT(C);RBCN;RBSN(S);RIVSTG;SNOW;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Snow survey.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2024-07-12,Zeljko Ratkovic
BANJA VRUCICA,,	2019-01-08,,Operational,Partly operational,Land (fixed),0-70-1-BanjaVrucica|primary,Europe,,Bosnia and Herzegovina,44.59087,17.88236,226,,UTC+1,Republic Hydrometeorological Institute of Republic of Serbska,https://rhmzrs.com,no,Automatic weather station. Station manufacturer is OTT,,,,,,GOS General:Operational,	2024-06-12,Zeljko Ratkovic
BASTASI,,	2019-01-08,,Operational,Partly operational,Land (fixed),0-70-1-Bastasi|primary,Europe,,Bosnia and Herzegovina,43.36935,18.79713,454,,UTC+1,Republic Hydrometeorological Institute of Republic of Serbska,https://rhmzrs.com,no,Automatic weather station. Station manufacturer is OTT,,,,,,GOS General:Operational,	2024-06-13,Zeljko Ratkovic
BIHAC,,	1892-01-01,,Operational,Operational,Land (fixed),0-20000-0-14528|primary,Europe,,Bosnia and Herzegovina,44.807677,15.866654,244,GPS,UTC+1,Federal Hydrometeorological Institute,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AGRIMET;CLIMAT(C);RIVSTG;SNOW;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Snow survey.,Warm Temperate - Fully humid - Hot summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within rises of middle altitude,60|300,"GBON:Operational, GCW CryoNet station:Operational, GOS General:Operational",	2024-07-12,Mirza Tahmaz
BIJELA VODA,,	2018-01-12,,Operational,Partly operational,Land (fixed),0-70-0-BijelaVoda|primary,Europe,,Bosnia and Herzegovina,43.72775,18.917511,991,,UTC+1,,http://fhmzbih.gov.ba/latinica/index.php,no,Automatic weather station. Station manufacturer is OTT,,,,,1|10,GOS General:Operational,	2023-06-05,Kemal SEHBAJRAKTAREVIC
BIJELJINA,,	2019-01-08,,Operational,Partly operational,Land (fixed),0-70-1-Bijeljina|primary,Europe,,Bosnia and Herzegovina,44.75361,19.19264,90,,UTC+1,Republic Hydrometeorological Institute of Republic of Serbska,https://rhmzrs.com,no,Automatic weather station. Station manufacturer is OTT,,,,,,"GBON, GOS General:Operational",	2024-07-15,Zeljko Ratkovic
BIJELJINA SYNOP,,	1892-01-01,,Operational,Partly operational,Land (fixed),0-70-0-14562|primary,Europe,,Bosnia and Herzegovina,44.75361,19.19267,90,GPS,UTC+1,Republic Hydrometeorological Institute of Republic of Serbska,,,,Snow - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of low altitude,12|370,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Non-reporting, RBON:Operational, RBSN(S) - deprecated:Closed",	2024-07-25,Zeljko Ratkovic
BILECA SYNOP,BILECA,	1892-01-01,,Operational,Unknown,Land (fixed),0-70-0-14677|primary,Europe,,Bosnia and Herzegovina,42.86743,18.42132,438,GPS,UTC+1,Republic Hydrometeorological Institute of Republic of Serbska,,,,Warm Temperate - Fully humid - Hot summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within mountains of middle altitude,11|270,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2024-07-27,Zeljko Ratkovic
BJELASNICA,,	1895-03-01,,Operational,Operational,Land (fixed),0-20000-0-14652|primary,Europe,,Bosnia and Herzegovina,43.703827,18.256962,2053,GPS,UTC+1,Federal Hydrometeorological Institute,,,Cryonet station attribute: primary,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at highest relative elevation within rises of high altitude,1|600,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GCW CryoNet station:Operational, GSN:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2024-08-14,Mirza Tahmaz
BOROVA GLAVA,,	2020-06-12,,Operational,Unknown,Land (fixed),0-70-5-BGLAVA|primary,Europe,,Bosnia and Herzegovina,43.775833,17.114853,1092,,,ROADS OF THE FEDERATION OF BOSNIA AND HERZEGOVINA,,,,,,,,,GOS General:Operational,	2021-04-15,Kemal SEHBAJRAKTAREVIC
BOROVA RAVAN,,	2016-01-11,,Operational,Partly operational,Land (fixed),0-70-0-BorovaRavan|primary,Europe,,Bosnia and Herzegovina,43.856088,17.68312,1021,,UTC+1,Federal Hydrometeorological Institute,http://fhmzbih.gov.ba/latinica/index.php,no,Automatic weather station. Station manufacturer is OTT,,,,,3|25,GOS General:Operational,	2023-06-05,Kemal SEHBAJRAKTAREVIC
BOSANSKI PETROVAC,,	2020-06-10,,Operational,Unknown,Land (fixed),0-70-5-BPETROVAC|primary,Europe,,Bosnia and Herzegovina,44.538346,16.400856,672,,,ROADS OF THE FEDERATION OF BOSNIA AND HERZEGOVINA,,,,,,,,,GOS General:Operational,	2021-04-15,Kemal SEHBAJRAKTAREVIC
BUDIM POTOK,,	2018-01-12,,Operational,Partly operational,Land (fixed),0-70-0-BudimPotok|primary,Europe,,Bosnia and Herzegovina,44.260854,18.577889,763,,UTC+1,Federal Hydrometeorological Institute,http://fhmzbih.gov.ba/latinica/index.php,no,Automatic weather station. Station manufacturer is OTT,,,,,15|30,GOS General:Operational,	2023-06-05,Kemal SEHBAJRAKTAREVIC
BUGOJNO,,	1892-01-01,,Operational,Operational,Land (fixed),0-20000-0-14544|primary,Europe,,Bosnia and Herzegovina,44.062084,17.45146,562,GPS,UTC+1,Federal Hydrometeorological Institute,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AGRIMET;SNOW;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Snow survey.,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within rises of middle altitude,50|100,"GBON:Operational, GCW CryoNet station:Operational, GOS General:Operational",	2024-07-12,Mirza Tahmaz
BUTMIR,,	2020-02-29,,Operational,Partly operational,Land (fixed),0-70-0-Butmir|primary,Europe,,Bosnia and Herzegovina,43.825606,18.317021,502,,UTC+1,Federal Hydrometeorological Institute,http://fhmzbih.gov.ba/latinica/index.php,no,Automatic weather station. Station manufacturer is Koshin Denki Kogyo,,,,,500|600,RBON:Operational,	2024-06-06,Mirza Tahmaz
Bileca,,	2023-12-12,,Operational,Silent,Land (fixed),0-70-1-Bileca|primary,Europe,,Bosnia and Herzegovina,42.86743,18.42132,438,,UTC+1,Republic Hydrometeorological Institute of Republic of Serbska,,,,Warm Temperate - Fully humid - Hot summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within mountains of middle altitude,,GOS General:Operational,	2024-07-12,Zeljko Ratkovic
CAJNICE,,	2019-01-08,,Operational,Partly operational,Land (fixed),0-70-1-Cajnice|primary,Europe,,Bosnia and Herzegovina,43.55794,19.07194,824,,UTC+1,Republic Hydrometeorological Institute of Republic of Serbska,https://rhmzrs.com,no,Automatic weather station. Station manufacturer is OTT,,,,,,GOS General:Operational,	2024-06-13,Zeljko Ratkovic
CELINAC,,	2016-01-01,,Operational,Partly operational,Land (fixed),0-70-1-Celinac|primary,Europe,,Bosnia and Herzegovina,44.73379,17.34716,293,,UTC+1,Republic Hydrometeorological Institute of Republic of Serbska,https://rhmzrs.com,no,Automatic weather station. Station manufacturer is OTT,,,,,,GOS General:Operational,	2024-06-13,Zeljko Ratkovic
CEMERNO,,	1963-01-01,,Operational,Unknown,Land (fixed),0-20000-0-14656|primary,Europe,,Bosnia and Herzegovina,43.2333333333,18.6,1305,,,Meteorological Institute  [Bosnia and Herzegovina],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2020-12-09,Kemal SEHBAJRAKTAREVIC
CEMERNO,,	2023-12-12,,Operational,Silent,Land (fixed),0-70-0-Cemerno|primary,Europe,,Bosnia and Herzegovina,43.24596,18.60733,1307,,UTC+1,Republic Hydrometeorological Institute of Republic of Serbska,,,,,,,,,GOS General:Operational,	2024-07-27,Zeljko Ratkovic
DERVENTA,,	2018-01-12,,Operational,Partly operational,Land (fixed),0-70-1-Derventa|primary,Europe,,Bosnia and Herzegovina,44.98291,17.91515,108,,UTC+1,Republic Hydrometeorological Institute of Republic of Serbska,https://rhmzrs.com,no,Automatic weather station. Station manufacturer is OTT,,,,,,GOS General:Operational,	2024-06-12,Zeljko Ratkovic
DIVICANI,,	2016-01-11,,Operational,Partly operational,Land (fixed),0-70-0-Divicani|primary,Europe,,Bosnia and Herzegovina,44.362662,17.327946,537,,UTC+1,Federal Hydrometeorological Institute,http://fhmzbih.gov.ba/latinica/index.php,no,Automatic weather station. Station manufacturer is OTT,,,,,2|15,GOS General:Operational,	2023-06-05,Kemal SEHBAJRAKTAREVIC
