Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
ACHTOPOL,,	1977-01-01,,Operational,Unknown,Land (fixed),0-20000-0-15661|primary,Europe,,Bulgaria,42.1,27.85,18,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;M/B;ROCOB;SEA/SWELL;SEATEMP (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Rocket-sonde observations; Sea and swell observations.,,,,,,GOS General:Operational,	2016-04-28,
BEO Moussala,,	1999-09-30,,Operational,Unknown,Land (fixed),0-20008-0-BEO|primary,Europe,,Bulgaria,42.1791992188,23.5855998993,2925,,UTC+3,,www.beo.inrne.bas.bg,,"BEO Moussala mission Observing, Monitoring and Study of Global Change, Climate, Aerospace and Terrestrial Environment, Natural Hazards and Technological Risks. Main research fields are: Atmospheric Physics and Chemistry; Physics and Astrophysics of Cosmic Rays; Complex Monitoring of Environment and Ecotoxicological Studies; Control of Long Range Radionuclides and Toxic Elements Transport; Sensors, Detectors and Complex Monitoring Devices Development BEO Moussala has a dynamic developing set of measuring, telecommunication and information systems and devices: automatic weather station, measuring temperature, pressure, direction and wind velocity, relative humidity and precipitations; automatic gas analyser, measuring concentrations of CO, CO2, SO2, O3, NO, NO2, NOx; the device for measuring the acidity of clouds; ozonometer, a device measuring ozone total column; detector of UV flux; aerosol properties measuring devices: nephelometer, measuring scaterring coefficient and scanning measurement particle seizer (SMPS); three devices for gamma background measurements, based on different principles; thermoluminescent detectors; device for measuring of aerosols radioactivity; high temperature semiconductor gamma spectrometer; active radon meter; neutron flux meter with high accuracy; device measuring the intensity cosmic neutron flux; complex cosmic ray detector SEVAN; passive neutron detector; Cerenkov leight telescope; muon Cerenkov telescope; LET spectrometer BEO Moussala has a developing data base with different levels and ways of access and high level of publicity in Internet, presenting on-line in real time the BEO Moussala data flows; refining QA/QC system. BEO Moussala is a modern complex High Mountain Observatory with developed and reliable infrastructure – double electricity supply and reserve supply; energy effective heating system; three times reserved communication; reliable transport, drinking water and water supply; optimal food stocks; modern active l",Snow - Fully humid - Very cold winter,,,,,"EMEP:Operational, GAW Regional:Operational",	2014-04-25,Jordan Stamenov
BOTEV VRAH (TOP/SOMMET),,	1946-01-01,,Operational,Silent,Land (fixed),0-20000-0-15627|primary,Europe,,Bulgaria,42.6666666667,24.8333333333,2384,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: M;MONT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Observations of cloud below the level of the station.,,,,,,GOS General:Operational,	2016-04-28,
BURGAS,,	1951-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-15655|primary,Europe,,Bulgaria,42.5,27.4833333333,22,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;CLIMAT(C);RBSN(S);SEA/SWELL;SEATEMP (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Sea and swell observations.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-05-22,Stanislava Radeva
CHERNI VRAH (TOP/SOMMET),,	1936-01-01,,Operational,Unknown,Land (fixed),0-20000-0-15613|primary,Europe,,Bulgaria,42.5833333333,23.2666666667,2286,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: M;MONT;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Observations of cloud below the level of the station; Total radiation measurements.,,,,,,GOS General:Operational,	2016-04-28,
CHIRPAN,,	1960-01-01,,Operational,Unknown,Land (fixed),0-20000-0-15635|primary,Europe,,Bulgaria,42.2,25.3333333333,173,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;M/B;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Total radiation measurements.,,,,,,GOS General:Operational,	2016-04-28,
DRAGOMAN,,	1977-01-01,,Operational,Unknown,Land (fixed),0-20000-0-15605|primary,Europe,,Bulgaria,42.9333333333,22.9333333333,714,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: M/B (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,GOS General:Operational,	2016-04-28,
ELHOVO,,	1960-01-01,,Operational,Unknown,Land (fixed),0-20000-0-15642|primary,Europe,,Bulgaria,42.1833333333,26.5666666667,138,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;M/B;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,GOS General:Operational,	2016-04-28,
IVAILO,,	1977-01-01,,Operational,Unknown,Land (fixed),0-20000-0-15628|primary,Europe,,Bulgaria,42.2166666667,24.3333333333,213,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;M/B;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,GOS General:Operational,	2016-04-28,
KALIAKPA,,	1977-01-01,,Operational,Unknown,Land (fixed),0-20000-0-15562|primary,Europe,,Bulgaria,43.3666666667,28.4666666667,63,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;M/B;SEA/SWELL;SEATEMP (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Sea and swell observations.,,,,,,GOS General:Operational,	2016-04-28,
KURDJALI,,	1966-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-15730|primary,Europe,,Bulgaria,41.65,25.3833333333,330,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;M/B;RBCN;RBSN(S);SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Total radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
KUSTENDIL,,	1960-01-01,,Operational,Unknown,Land (fixed),0-20000-0-15601|primary,Europe,,Bulgaria,42.2666666667,22.7666666667,522,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;M/B;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,GOS General:Operational,	2016-04-28,
LOM,,	1961-01-01,,Operational,Unknown,Land (fixed),0-20000-0-15511|primary,Europe,,Bulgaria,43.8166666667,23.25,32,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);M/B;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBON:Operational",	2016-04-28,
LOVETCH,,	1977-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-15525|primary,Europe,,Bulgaria,43.15,24.7,220,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;M/B;RBSN(S);SOILTEMP (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,"GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
MONTANA (15507-0),,,,Operational,Unknown,Land (fixed),0-20000-0-15507|primary,Europe,,Bulgaria,43.4166666667,23.2166666667,202,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;M/B;SOILTEMP (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,GOS General:Operational,	2016-04-28,
MOURGASH,,	1977-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-15600|primary,Europe,,Bulgaria,42.8333333333,23.6666666667,1687,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: M;MONT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Observations of cloud below the level of the station.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
MUSSALA (TOP/SOMMET),,	2016-04-28,,Operational,Partly operational,Land (fixed),0-20000-0-15615|primary,Europe,,Bulgaria,42.1833333333,23.5833333333,2925,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: M;MONT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Observations of cloud below the level of the station.,,,,,,"GBON:Operational, GOS General:Operational",	2017-02-02,Dolgorsuren (Ogui) Khuukhenbaatar
NOVO SELO,,	1962-01-01,,Operational,Unknown,Land (fixed),0-20000-0-15501|primary,Europe,,Bulgaria,44.1666666667,22.8,36,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: M/B (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,GOS General:Operational,	2016-04-28,
ORYAHOVO,,	1966-01-01,,Operational,Unknown,Land (fixed),0-20000-0-15514|primary,Europe,,Bulgaria,43.6833333333,23.9666666667,29,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: M/B (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,GOS General:Operational,	2016-04-28,
PLEVEN,,	1951-01-01,,Operational,Unknown,Land (fixed),0-20000-0-15528|primary,Europe,,Bulgaria,43.4,24.6,156,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: M/B;SOLRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Solar radiation measurements.,,,,,,GOS General:Operational,	2016-04-28,
