Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
ABECHE,,	1932-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-64756|primary,Africa,,Chad,13.85,20.85,545,,,Agence Nationale de la Meteorologie au Tchad,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;RBCN;RBSN(S);SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-07-04,KEIRO MADJI
AM-TIMAN,,	1950-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-64754|primary,Africa,,Chad,11.0333333333,20.2833333333,433,,,Agence Nationale de la Meteorologie au Tchad,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;GSN;RBCN;RBSN(S);SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON, GOS General:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-06-01,Djergo GAYA
ATI,,	1936-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-64751|primary,Africa,,Chad,13.2166666667,18.3166666667,333,,,Agence Nationale de la Meteorologie au Tchad,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;GSN;RBCN;RBSN(S);SOILTEMP;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
Abdi,,	2023-05-15,,Operational,Unknown,Land (fixed),0-148-0-CHD64945|primary,Africa,,Chad,12.4833,21.1815,535,,,,,,,,,,,,GBON:Operational,	2023-06-02,TCD NMHS
Aboudéia,,	2022-12-02,,Operational,Unknown,Land (fixed),0-148-0-CHD64902|primary,Africa,,Chad,11.45,19.27,505,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
Abéché,,	2022-09-17,,Operational,Unknown,Land (fixed),0-148-0-CHD64901|primary,Africa,,Chad,13.84,20.85,563,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, RBON:Operational",	2023-06-01,Djergo GAYA
Adré,,	2023-05-10,,Operational,Unknown,Land (fixed),0-148-0-CHD64948|primary,Africa,,Chad,13.283,22.1241,795,,,,,,,,,,,,GBON:Operational,	2023-06-02,TCD NMHS
Amdam,,	2023-05-13,,Operational,Unknown,Land (fixed),0-148-0-CHD64947|primary,Africa,,Chad,12.4552,20.2745,465,,,,,,,,,,,,GBON:Operational,	2023-06-02,TCD NMHS
Amtiman-AWS,,	2023-04-30,,Operational,Unknown,Land (fixed),0-148-0-CHD64943|primary,Africa,,Chad,12.222,20.167,406,,UTC+1,(unknown),,,,Steppe - Hot arid,Mosaic forest or shrubland (50-70%) / grassland (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of middle altitude,,GBON:Operational,	2023-06-02,TCD NMHS
Ati,,	2022-09-23,,Operational,Unknown,Land (fixed),0-148-0-CHD64903|primary,Africa,,Chad,13.2236,18.3258,350,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
BOKORO,,	1946-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-64708|primary,Africa,,Chad,12.3833333333,17.05,300,,,Agence Nationale de la Meteorologie au Tchad,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;SOILTEMP;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBON:Operational",	2016-04-28,
BOL-BERIM,,	1932-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-64702|primary,Africa,,Chad,13.4333333333,14.7333333333,291,,,Agence Nationale de la Meteorologie au Tchad,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;RBCN;SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational",	2016-04-28,
BOUSSO,,	1944-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-64705|primary,Africa,,Chad,10.4833333333,16.7166666667,334,,,Agence Nationale de la Meteorologie au Tchad,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;RBCN;RBSN(S);SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
Baro,,	2022-09-20,,Operational,Unknown,Land (fixed),0-148-0-CHD64904|primary,Africa,,Chad,12.1993,18.9728,510,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
Bebedjia ITRAD,,	2022-10-22,,Operational,Unknown,Land (fixed),0-148-0-CHD64905|primary,Africa,,Chad,8.6748,16.5602,401,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
Bekamba,,	2022-08-02,,Operational,Unknown,Land (fixed),0-148-0-CHD64906|primary,Africa,,Chad,8.6949,17.3589,388,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
Bessao,,	2022-10-23,,Operational,Unknown,Land (fixed),0-148-0-CHD64907|primary,Africa,,Chad,7.901,16.078,501,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
Binder,,	2022-10-16,,Operational,Unknown,Land (fixed),0-148-0-CHD64908|primary,Africa,,Chad,9.96,14.45,330,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
Bitkine,,	2022-09-21,,Operational,Unknown,Land (fixed),0-148-0-CHD64909|primary,Africa,,Chad,11.9832,18.219,330,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
Bokoro,,	2022-09-22,,Operational,Unknown,Land (fixed),0-148-0-CHD64910|primary,Africa,,Chad,12.3833,17.0593,308,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
Bol,,	2022-09-26,,Operational,Unknown,Land (fixed),0-148-0-CHD64911|primary,Africa,,Chad,13.4449,14.7376,310,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
Bongor Aéro,,	2022-08-04,,Operational,Unknown,Land (fixed),0-148-0-CHD64912|primary,Africa,,Chad,10.2887,15.3748,330,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
Deddah,,	2022-09-24,,Operational,Unknown,Land (fixed),0-148-0-CHD64913|primary,Africa,,Chad,13.5093,18.5909,350,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
Doba Aéro,,	2022-07-29,,Operational,Unknown,Land (fixed),0-148-0-CHD64915|primary,Africa,,Chad,8.6946,16.8302,390,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
Dourbali,,	2022-11-26,,Operational,Unknown,Land (fixed),0-148-0-CHD64916|primary,Africa,,Chad,11.805,15.872,326,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
