Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
BILOGORA,,	1994-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-14256|primary,Europe,,Croatia,45.8836111111,17.2002777778,262,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational, WRO:Operational",	2016-04-29,
BJELOVAR,,	1994-01-01,,Operational,Operational,Land (fixed),0-20000-0-14253|primary,Europe,,Croatia,45.9097222222,16.8694444444,141,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
DARUVAR,,	1963-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-14258|primary,Europe,,Croatia,45.5913888889,17.21,153,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: PH;RBSN(S);SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,,,,,,"GBON:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
DUBROVNIK/CILIPI,,	1963-02-01,,Operational,Partly operational,Land (fixed),0-20000-0-14474|primary,Europe,,Croatia,42.5627777778,18.27,157,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2017-02-10,Ines SRZIC
DUBROVNIK/GORICA,,,,Operational,Operational,Land (fixed),0-20000-0-14472|primary,Europe,,Croatia,42.6447222222,18.085,52,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;SEA;SEATEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: State of sea observations.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
GOSPIC,,	1982-01-01,,Operational,Operational,Land (fixed),0-20000-0-14330|primary,Europe,,Croatia,44.5505555556,15.3730555556,564,,UTC+1,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;PH;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,,,,,,"GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2021-03-25,Ines SRZIC
GRADISTE,,	1994-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-14382|primary,Europe,,Croatia,45.1591666667,18.7036111111,97,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
Goli Vrh,,	2016-06-10,,Operational,Silent,Land (fixed),0-191-0-14238|primary,Europe,,Croatia,45.6975,15.724444,166,,,Meteorological and Hydrological Service of Croatia,,,,Warm Temperate - Fully humid - Hot summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of low altitude,,GOS General:Operational,	2021-03-25,HRV NMHS
Gorice,,	2014-10-30,,Operational,Unknown,Land (fixed),0-191-0-14365|primary,Europe,,Croatia,45.223611,17.278333,135,,,Meteorological and Hydrological Service of Croatia,,,,Warm Temperate - Fully humid - Hot summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of low altitude,,GBON:Operational,	2021-03-25,HRV NMHS
HVAR,,	1982-01-01,,Operational,Operational,Land (fixed),0-20000-0-14447|primary,Europe,,Croatia,43.1711111111,16.4369444444,20,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;PH;SEA;SEATEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations; State of sea observations.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
