Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
ABBEVILLE,,	1922-05-01,,Operational,Operational,Land (fixed),0-20000-0-07005|primary,Europe,,France,50.136,1.834,69,GPS,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);MAN/AUT*;RAD;RBCN;RBSN(S);RSD;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements; Radar storm and meteorological phenomena detection; Snow survey.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed, WRO:Operational",	2024-01-09,"FRA,NCL,PYF,SPM NMHS"
AGEN,,	1962-01-01,,Operational,Operational,Land (fixed),0-20000-0-07524|primary,Europe,,France,44.1722222222,0.5947222222,62,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;METAR;RAD;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements.,,,,,,"Ceilometers, GBON:Operational, GOS General:Operational",	2024-04-18,"FRA,NCL,PYF,SPM NMHS"
AJACCIO,,	1944-03-01,,Operational,Operational,Land (fixed),0-20000-0-07761|primary,Europe,,France,41.9180555556,8.7927777778,6,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT+;CLIMAT(C);METAR;RAD;RBCN;RBSN(ST);SNOW;SOILTEMP;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements; Snow survey; Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, Ceilometers, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(ST) - deprecated:Closed",	2024-04-18,"FRA,NCL,PYF,SPM NMHS"
ALBI,,	1990-01-01,,Operational,Operational,Land (fixed),0-20000-0-07632|primary,Europe,,France,43.9147222222,2.1163888889,172,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;RAD;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements.,,,,,,"GBON:Operational, GOS General:Operational",	2024-01-04,"FRA,NCL,PYF,SPM NMHS"
ALENCON,,	1962-01-01,,Operational,Operational,Land (fixed),0-20000-0-07139|primary,Europe,,France,48.4455555556,0.1102777778,145,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);RAD;RBCN;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, Ceilometers, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2024-04-18,"FRA,NCL,PYF,SPM NMHS"
ALISTRO,,	2001-01-01,,Operational,Operational,Land (fixed),0-20000-0-07775|primary,Europe,,France,42.2597222222,9.5413888889,65,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;C;MAN/AUT*;SEA;SNOW (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: State of sea observations; Snow survey.,,,,,,"GBON:Operational, GOS General:Operational",	2024-01-04,"FRA,NCL,PYF,SPM NMHS"
AMBERIEU,,	1962-01-01,,Operational,Operational,Land (fixed),0-20000-0-07482|primary,Europe,,France,45.9763888889,5.3294444444,251,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Snow survey.,,,,,,"GBON:Operational, GOS General:Operational",	2024-01-09,"FRA,NCL,PYF,SPM NMHS"
ANNECY-MEYTHET,,	1970-08-01,,Operational,Operational,Land (fixed),0-20000-0-07490|primary,Europe,,France,45.928167,6.094,455,GPS,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;METAR;RAD;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements; Snow survey.,,,,,,"Ceilometers, GBON:Operational, GOS General:Operational",	2024-05-07,Léa LABEUR
ARCIS RADAR,,	1990-10-01,,Operational,Unknown,Land (fixed),0-20000-0-07167|primary,Europe,,France,48.462167,4.309333,156,Survey,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RSD (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radar storm and meteorological phenomena detection.,,,,,,"GOS General:Operational, WRO:Operational",	2018-06-29,Jean-Pierre AUBAGNAC
AUCH,,	1962-01-01,,Operational,Operational,Land (fixed),0-20000-0-07622|primary,Europe,,France,43.6888888889,0.6011111111,125,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;RAD;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements; Snow survey.,,,,,,"GBON:Operational, GOS General:Operational",	2024-01-09,"FRA,NCL,PYF,SPM NMHS"
