Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
HOLZKIRCHEN (SECONDARY),,	1952-09-01,,Operational,Unknown,Land (fixed),0-276-3-2319|primary,Africa,,Germany,11.696146,47.882292,685,From map,UTC+1,German Meteorological Service,,,,Snow - Fully humid - Warm summer,Water bodies(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of middle altitude,,GOS General:Operational,	2024-08-21,Silvia Kothe
FILCHNER,,	2016-01-15,,Operational,Unknown,Land (fixed),0-20000-0-89047|primary,Antarctica,,Germany,-80.43681,-44.43199,103,GPS,,Alfred Wegener Institute,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SNOW;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Snow survey; Total radiation measurements.,Polar - Frost,Snow and ice(Surface cover types (IGBP)),"Smooth (Mud flats, snow; no vegetation, no obstacles)",A flat (inapplicable) relative elevation (inapplicable) of low altitude,0|0,"GBON:Operational, GOS General:Operational",	2020-02-10,Rainer Maerz
GEORG VON NEUMAYER,,	1981-02-24,,Operational,Operational,Land (fixed),0-20000-0-89002|primary,Antarctica,,Germany,-70.6666666667,-8.25,50,,,Alfred Wegener Institute,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: ANTON;ANTON(T);AUT+;CARBON DIOXIDE;CLIMAT(C);GAW;GSN;GUAN;MAGNET;OZONE;RAD;SEISMO;SNOW;SOLRA;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Carbon dioxide observations; Ozone observations; Radiation measurements; Seismological observations,Polar - Frost,Snow and ice(Surface cover types (IGBP)),"Smooth (Mud flats, snow; no vegetation, no obstacles)",A flat (inapplicable) relative elevation within plains of very low altitude,0|0,"ANTON - deprecated:Closed, ANTON(T) - deprecated:Closed, CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, GSN:Operational, GUAN:Operational, RBON:Operational",	2023-11-03,Marc Kinkeldey
HALVFARRYGGEN,HALVFARRYGGEN EP11,	2008-04-14,,Operational,Partly operational,Land (fixed),0-20000-0-89003|primary,Antarctica,,Germany,-71.17489,-6.80027,692,GPS,,Alfred Wegener Institute,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: ANTON;AUT;CLIMAT(C) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Polar - Frost,Snow and ice(Surface cover types (IGBP)),,,0|0,"ANTON - deprecated:Closed, CLIMAT(C) - deprecated:Closed, GBON:Operational, RBON:Operational",	2021-10-25,Rainer Maerz
SOERASEN,,	2016-01-21,,Operational,Partly operational,Land (fixed),0-20000-0-89011|primary,Antarctica,,Germany,-71.3649,-10.03085,572,GPS,,Alfred Wegener Institute,,https://www.awi.de/expedition/stationen/neumayer-station-iii.html,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SNOW;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Snow survey; Total radiation measurements.,Polar - Frost,Snow and ice(Surface cover types (IGBP)),"Smooth (Mud flats, snow; no vegetation, no obstacles)",A flat (inapplicable) relative elevation (inapplicable) of middle altitude,0|0,"GBON:Operational, GOS General:Operational",	2020-10-23,Rainer Maerz
AACHEN-ORSBACH,,	2010-10-20,,Operational,Operational,Land (fixed),0-20000-0-10505|primary,Europe,,Germany,50.798281,6.02439,231.03,Survey,UTC+1,German Meteorological Service,,,Station running in full automated mode (AUT),Warm Temperate - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of low altitude,263|1379,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GCW affiliated station, GOS General:Operational, GSRN:Pre-operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2024-07-26,Silvia Kothe
AHAUS,,	2005-12-06,,Operational,Operational,Land (fixed),0-20000-0-10309|primary,Europe,,Germany,52.0813,6.940893,45.53,From map,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks..: AUT;CLIMAT(C);M/B;SKYRA;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Sky radiation measurements; Total radiation measurements.,Snow - Fully humid - Warm summer,Mosaic grassland (50-70%) / forest or shrubland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within plains of very low altitude,60|1371,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-08-19,Silvia Kothe
ALDERSBACH-KRAMERSEPP (SECONDARY),,	1908-08-18,,Operational,Unknown,Land (fixed),0-276-3-73|primary,Europe,,Germany,48.618259,13.062023,373.5,From map,UTC+1,German Meteorological Service,,,,Snow - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of middle altitude,22|520,GOS General:Operational,	2024-08-06,Silvia Kothe
ALFELD,,	2007-11-02,,Operational,Operational,Land (fixed),0-20000-0-10442|primary,Europe,,Germany,51.964331,9.80717,143.69,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;SKYRA;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Sky radiation measurements; Total radiation measurements.,Snow - Fully humid - Warm summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of low altitude,39|1938,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-07-16,Silvia Kothe
ALFHAUSEN (SECONDARY),,	1949-04-15,,Operational,Unknown,Land (fixed),0-276-3-78|primary,Europe,,Germany,52.485322,7.912544,63.5,From map,UTC+1,German Meteorological Service,,,,Warm Temperate - Fully humid - Warm summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of very low altitude,43|1380,GOS General:Operational,	2024-03-22,Silvia Kothe
