Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
AGRINION (AIRPORT),,	1956-01-01,	2014-04-04,Closed,Unknown,Land (fixed),0-20000-0-16672|primary,Europe,,Greece,38.6,21.35,24,,,Hellenic National Meteorological Service,,,This station ceased its operation in August 2014.,,,,,,GOS General:Closed,	2019-10-31,Nick KALAMARAS
AKTION (AIRPORT),,	1971-01-01,,Operational,Operational,Land (fixed),0-20000-0-16643|primary,Europe,,Greece,38.9219444444,20.7688,1.47,,,Hellenic National Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;RBSN(S);SNOW;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Snow survey.,,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within hills of very low altitude,3|130,"GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-10-19,Nick KALAMARAS
ALEXANDROUPOLI (AIRPORT),,	1953-10-17,,Operational,Operational,Land (fixed),0-20000-0-16627|primary,Europe,,Greece,40.8573,25.947,3.52,,,Hellenic National Meteorological Service,http://www.hnms.gr/emy/en/index_html?,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AGRIMET;CLIMAT(C);EVAP;METAR;RBSN(S);SNOW;SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Snow survey.,Warm Temperate - Fully humid - Warm summer,,"Open (Open flat terrain; grass, few isolated obstacles)",,,"GBON:Operational, GSN:Operational, RBON:Operational",	2022-08-08,Alexander Scheid
ALIARTOS,,	1969-01-01,	2001-05-31,Closed,Unknown,Land (fixed),0-20000-0-16674|primary,Europe,,Greece,38.3833333333,23.1,110,,,Hellenic National Meteorological Service,,,This station ceased its operation in February 2011.,,,,,,GOS General:Closed,	2019-10-31,Nick KALAMARAS
ANCHIALOS (AIRPORT),,	1956-01-01,,Operational,Silent,Land (fixed),0-20000-0-16665|primary,Europe,,Greece,39.2244,22.7934,12.85,,,Hellenic National Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AGRIMET;CLIMAT(C);EVAP;METAR;SOILTEMP;SPECI;SUNDUR; SEMI-AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,RBON:Operational,	2022-08-08,Alexander Scheid
ANDRAVIDA (AIRPORT),,	1958-11-01,,Operational,Operational,Land (fixed),0-20000-0-16682|primary,Europe,,Greece,37.9228,21.2874,10.1,,,Hellenic National Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AGRIMET;CLIMAT(C);EVAP;METAR;RBSN(S);SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,16|170,"GBON:Operational, RBON:Operational, WRO:Operational",	2022-08-08,Alexander Scheid
ARAXOS (AIRPORT),,	1948-01-01,,Operational,Operational,Land (fixed),0-20000-0-16687|primary,Europe,,Greece,38.149167,21.422222,11.29,,,Hellenic National Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;SPECI;SUNDUR; SEMI-AUT,Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within hills of very low altitude,8|340,RBON:Operational,	2022-10-19,Nick KALAMARAS
ARTA (HALKIADES),,	1960-12-31,	2014-04-03,Closed,Unknown,Land (fixed),0-20000-0-16654|primary,Europe,,Greece,39.1666666667,21,10,,,Hellenic National Meteorological Service,,,This station ceased its operation in August 2014.,,,,,,GOS General:Closed,	2019-10-31,Nick KALAMARAS
ATHINAI (FILADELFIA),,	1955-01-01,	2010-10-19,Closed,Unknown,Land (fixed),0-20000-0-16701|primary,Europe,,Greece,38.0454,23.7457,135.5,,,Hellenic National Meteorological Service,,,,,,,,,GOS General:Closed,	2020-02-15,Nick KALAMARAS
ATHINAI HELLINIKON,,	1946-01-01,,Operational,Operational,Land (fixed),0-20000-0-16716|primary,Europe,,Greece,37.8897222222,23.7416666667,43.13,,,Hellenic National Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;RBCN;RBSN(ST);SNOW;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Snow survey. NOTE: Upper-air station is NOT affiliated to GBON.,Steppe - Hot arid,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within rises of very low altitude,1004|3670,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(ST) - deprecated:Closed",	2023-05-31,Nick KALAMARAS
Achladokastro,,	2022-03-01,,Operational,Operational,Land (fixed),0-300-1-achladokastro|primary,Europe,,Greece,38.581028,21.749639,747,,UTC+2,National Observatory of Athens,,,,Warm temperate - Dry and hot summer,Sparse (<15%) vegetation(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of middle altitude,,Non-affiliated:Operational,	2022-09-28,Nick KALAMARAS
Aegina,,	2013-12-05,,Operational,Operational,Land (fixed),0-300-1-aegina|primary,Europe,,Greece,37.748135,23.443639,57,,UTC+2,National Observatory of Athens,,,,,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Aggelokastro,,	2021-03-19,,Operational,Operational,Land (fixed),0-300-1-aggelokastro|primary,Europe,,Greece,38.549031,21.272843,79,,UTC+2,National Observatory of Athens,,,,Warm temperate - Dry and hot summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2021-07-08,Nick KALAMARAS
Aghiosnikolaos,,	2009-10-22,,Operational,Operational,Land (fixed),0-300-1-aghiosnikolaos|primary,Europe,,Greece,35.1914,25.7209,30,,,National Observatory of Athens,,,,,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Agia,,	2012-06-18,,Operational,Operational,Land (fixed),0-300-1-agia|primary,Europe,,Greece,39.716148,22.762013,167,,UTC+2,National Observatory of Athens,,,,Steppe - Cold arid,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of middle altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Agia Triada,,	2020-11-29,,Operational,Operational,Land (fixed),0-300-1-agiatriada|primary,Europe,,Greece,38.808817,22.602208,29,,,National Observatory of Athens,,,,Warm temperate - Dry and hot summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2021-07-09,Nick KALAMARAS
Agiakiriaki,,	2011-09-19,,Operational,Operational,Land (fixed),0-300-1-agiakiriaki|primary,Europe,,Greece,39.52441,20.882035,515,,,National Observatory of Athens,,,,,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Agiaparaskevi,,	2014-12-03,,Operational,Operational,Land (fixed),0-300-1-agiaparaskevi|primary,Europe,,Greece,38.004805,23.833127,273,,UTC+2,National Observatory of Athens,,,,Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within mountains of low altitude,,Non-affiliated:Operational,	2024-08-02,Nick KALAMARAS
Agioitheodoroi,,	2012-10-20,,Operational,Operational,Land (fixed),0-300-1-agioitheodoroi|primary,Europe,,Greece,37.932508,23.131559,37,,,National Observatory of Athens,,,,,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Agios Efstratios,,	2008-10-10,,Operational,Unknown,Land (fixed),0-300-0-16639|primary,Europe,,Greece,39.5417,24.9894,52.5,,,Hellenic National Meteorological Service,,,,Warm temperate - Dry and hot summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within valleys of very low altitude,,"Non-affiliated:Operational, RBON:Operational",	2022-08-08,Alexander Scheid
Agios Kosmas,,	2002-08-16,,Silent,Unknown,Land (fixed),0-300-0-16787|primary,Europe,,Greece,37.8864,23.7246,2.2,,,Hellenic National Meteorological Service,,,,Warm temperate - Dry and hot summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within valleys of very low altitude,,Non-affiliated:Non-reporting,	2020-04-26,Nick KALAMARAS
Agiosnikolaostrapezis,,	2020-08-01,,Operational,Operational,Land (fixed),0-300-1-agiosnikolaostra|primary,Europe,,Greece,38.154481,22.209533,775,,,National Observatory of Athens,,,,Steppe - Cold arid,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of middle altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Agiospavlos,,	2017-11-12,,Operational,Unknown,Land (fixed),0-300-1-agiospavlos|primary,Europe,,Greece,40.664289,21.964244,1294,,,National Observatory of Athens,,,,,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Agpantes,,	2015-09-16,,Operational,Operational,Land (fixed),0-300-1-agpantes|primary,Europe,,Greece,35.398816,24.152973,148,,,National Observatory of Athens,,,,,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Agrinio (NOA),,	2009-06-16,,Operational,Operational,Land (fixed),0-300-1-agrinio|primary,Europe,,Greece,38.61269858,21.4156504,72,,,National Observatory of Athens,,,,Warm temperate - Dry and hot summer,Closed (>40%) needleleaved evergreen forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within mountains of low altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Aigina,,	2002-08-16,,Operational,Unknown,Land (fixed),0-300-0-16782|primary,Europe,,Greece,37.7629,23.5642,22.82,,,Hellenic National Meteorological Service,,,,Warm temperate - Dry and hot summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2020-04-26,Nick KALAMARAS
Aitoliko,,	2008-08-13,,Operational,Operational,Land (fixed),0-300-1-aitoliko|primary,Europe,,Greece,38.43604436,21.36278585,3,,,National Observatory of Athens,,,,,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Alagonia,,	2012-10-25,,Operational,Operational,Land (fixed),0-300-1-alagonia|primary,Europe,,Greece,37.1067,22.244228,765,,,National Observatory of Athens,,,,,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Alexandroupoli (port),alexandroupoliport,	2021-12-23,,Operational,Operational,Land (fixed),0-300-1-alexandroupoli|primary,Europe,,Greece,40.843333,25.878889,8,,,National Observatory of Athens,,,,Warm temperate - Dry and hot summer,Sparse (<15%) vegetation(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of middle altitude,,Non-affiliated:Operational,	2022-09-28,Nick KALAMARAS
Alexandroupolis (NOA),,	2008-09-20,,Operational,Operational,Land (fixed),0-300-1-alexandroupolis|primary,Europe,,Greece,40.87631,25.85828,69,,,National Observatory of Athens,,,,Steppe - Cold arid,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of middle altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Alikianos,,	2012-08-08,,Operational,Operational,Land (fixed),0-300-1-alikianos|primary,Europe,,Greece,35.451583,23.909931,95,,,National Observatory of Athens,,,,Warm temperate - Dry and hot summer,Closed (>40%) needleleaved evergreen forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within mountains of low altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Alonissos,,	2010-07-22,,Operational,Operational,Land (fixed),0-300-1-alonissos|primary,Europe,,Greece,39.14773,23.86687,50,,,National Observatory of Athens,,,,,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Alonnisos,,	2009-01-01,,Silent,Unknown,Land (fixed),0-300-0-16663|primary,Europe,,Greece,39.1114,23.9811,186,,UTC+2,Hellenic National Meteorological Service,,,,,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)(Surface cover types (GlobCover2009))",,(unknown) at middle relative elevation within hills of very low altitude,,Non-affiliated:Non-reporting,	2020-03-04,Nick KALAMARAS
Alphaestate,,	2018-04-12,,Operational,Operational,Land (fixed),0-300-1-alphaestate|primary,Europe,,Greece,40.693819,21.706514,620,,,National Observatory of Athens,,,,Steppe - Cold arid,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of middle altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Amaliada,,	2006-12-23,,Operational,Operational,Land (fixed),0-300-1-amaliada|primary,Europe,,Greece,37.8026,21.328409,26,,,National Observatory of Athens,,,,,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Amfiklia,,	2016-09-30,,Operational,Operational,Land (fixed),0-300-1-amfiklia|primary,Europe,,Greece,38.61142,22.64053,245,,,National Observatory of Athens,,,,Steppe - Cold arid,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of middle altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Amfikliatown,,	2018-05-07,,Operational,Operational,Land (fixed),0-300-1-amfikliatown|primary,Europe,,Greece,38.6379,22.5868,440,,,National Observatory of Athens,,,,,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Amfiloxia,,	2015-12-04,,Operational,Operational,Land (fixed),0-300-1-amfiloxia|primary,Europe,,Greece,38.89275,21.1497,40,,,National Observatory of Athens,,,,,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Amfissa,,	2018-05-17,,Operational,Operational,Land (fixed),0-300-1-amfissa|primary,Europe,,Greece,38.52491,22.386218,168,,,National Observatory of Athens,,,,,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Amorgos,,	2012-09-14,,Operational,Operational,Land (fixed),0-300-1-amorgos|primary,Europe,,Greece,36.908055,25.971142,3,,,National Observatory of Athens,,,,,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Ampelokipoi,,	2009-06-12,,Operational,Operational,Land (fixed),0-300-1-ampelokipoi|primary,Europe,,Greece,37.98175,23.758367,136,,,National Observatory of Athens,,,,Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within mountains of low altitude,,Non-affiliated:Operational,	2024-08-02,Nick KALAMARAS
Amyntaio,,	2009-05-20,,Operational,Unknown,Land (fixed),0-300-1-amyntaio|primary,Europe,,Greece,40.606417,21.650256,654,,,National Observatory of Athens,,,,Warm temperate - Dry and hot summer,Closed (>40%) needleleaved evergreen forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within mountains of low altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Anafi,,	2016-06-22,,Operational,Operational,Land (fixed),0-300-1-anafi|primary,Europe,,Greece,36.350862,25.766882,235,,,National Observatory of Athens,,,,,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Anavyssos,,	2012-05-23,,Operational,Operational,Land (fixed),0-300-1-anavyssos|primary,Europe,,Greece,37.733392,23.904106,10,,,National Observatory of Athens,,,,,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Andritsaina,,	2007-11-03,,Operational,Operational,Land (fixed),0-300-1-andritsaina|primary,Europe,,Greece,37.484172,21.903311,731,,,National Observatory of Athens,,,,,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Andros,,	2008-04-23,,Silent,Unknown,Land (fixed),0-300-0-16605|primary,Europe,,Greece,37.9642,24.7033,161.47,,,Hellenic National Meteorological Service,,,,Warm temperate - Dry and hot summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within valleys of very low altitude,,Non-affiliated:Non-reporting,	2020-04-26,Nick KALAMARAS
Andros (NOA),,	2011-04-20,,Operational,Operational,Land (fixed),0-300-1-andros|primary,Europe,,Greece,37.881211,24.744881,16,,,National Observatory of Athens,,,,Warm temperate - Dry and hot summer,Closed (>40%) needleleaved evergreen forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within mountains of low altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Anilio,,	2019-11-14,,Operational,Operational,Land (fixed),0-300-1-anilio|primary,Europe,,Greece,39.748611,21.2275,1660,,,National Observatory of Athens,,,,,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2020-12-18,Nick KALAMARAS
Anogeia,,	2008-02-24,,Operational,Operational,Land (fixed),0-300-1-anogeia|primary,Europe,,Greece,35.28672,24.88942,801,,,National Observatory of Athens,,,,,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Anoliosia,,	2011-06-17,,Operational,Operational,Land (fixed),0-300-1-anoliosia|primary,Europe,,Greece,38.081855,23.691528,182,,,National Observatory of Athens,,,,,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2024-08-02,Nick KALAMARAS
Antikira,,	2009-05-15,,Operational,Operational,Land (fixed),0-300-1-antikira|primary,Europe,,Greece,38.377013,22.636856,336,,,National Observatory of Athens,,,,,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Antikythira,,	2009-04-01,,Operational,Unknown,Land (fixed),0-300-0-16852|primary,Europe,,Greece,35.8772,23.2891,85.35,,,Hellenic National Meteorological Service,,,,Warm temperate - Dry and hot summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2020-04-26,Nick KALAMARAS
Antirio,,	2011-09-01,,Operational,Operational,Land (fixed),0-300-0-16834|primary,Europe,,Greece,38.3341,21.7649,5,,,Hellenic National Meteorological Service,,,,Warm temperate - Dry and hot summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2020-04-26,Nick KALAMARAS
Antissa,,	2019-02-14,,Operational,Operational,Land (fixed),0-300-1-antissa|primary,Europe,,Greece,39.231872,25.979103,303,,,National Observatory of Athens,,,,Warm temperate - Dry and hot summer,Closed (>40%) needleleaved evergreen forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within mountains of low altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Apidia,,	2020-01-27,,Operational,Operational,Land (fixed),0-300-1-apidia|primary,Europe,,Greece,36.886389,22.798889,230,,,National Observatory of Athens,,,,,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2020-12-18,Nick KALAMARAS
Apiranthos,,	2012-12-13,,Operational,Operational,Land (fixed),0-300-1-apiranthos|primary,Europe,,Greece,37.071271,25.520031,600,,,National Observatory of Athens,,,,,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Apollonas,,	2012-09-19,,Operational,Operational,Land (fixed),0-300-1-apollonas|primary,Europe,,Greece,37.18114,25.55496,35,,,National Observatory of Athens,,,,,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Arahova,,	2008-03-14,,Operational,Operational,Land (fixed),0-300-1-arahova|primary,Europe,,Greece,38.48516,22.58592,1069,,,National Observatory of Athens,,,,Steppe - Cold arid,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of middle altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Ardassa,,	2009-08-13,,Operational,Operational,Land (fixed),0-300-1-ardassa|primary,Europe,,Greece,40.480833,21.639444,617,,,National Observatory of Athens,,,,,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Arfara,,	2012-10-25,,Operational,Unknown,Land (fixed),0-300-1-arfara|primary,Europe,,Greece,37.155887,22.045571,96,,,National Observatory of Athens,,,,,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2020-12-18,Nick KALAMARAS
Argos,,	1980-02-08,,Operational,Silent,Land (fixed),0-300-0-16724|primary,Europe,,Greece,37.6328,22.7598,12,,UTC+2,Hellenic National Meteorological Service,,,,,,,,,GOS General:Operational,	2022-10-19,Nick KALAMARAS
Argos(NOA),,	2012-08-22,,Operational,Operational,Land (fixed),0-300-1-argos|primary,Europe,,Greece,37.6281146,22.7134012,38,,,National Observatory of Athens,,,,,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Argostoli,,	2021-09-27,,Operational,Operational,Land (fixed),0-300-1-argostoli|primary,Europe,,Greece,38.184917,20.485283,5,,,National Observatory of Athens,,,,Warm temperate - Dry and hot summer,Sparse (<15%) vegetation(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of middle altitude,,Non-affiliated:Operational,	2022-09-28,Nick KALAMARAS
Aridaia,,	2010-12-10,,Operational,Operational,Land (fixed),0-300-1-aridaia|primary,Europe,,Greece,40.983317,22.053833,120,,,National Observatory of Athens,,,,,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2020-12-23,Nick KALAMARAS
Arsakeio-drosia,,	2014-09-28,,Operational,Operational,Land (fixed),0-300-1-arsakeioDrosia|primary,Europe,,Greece,38.120957,23.856724,365,,,National Observatory of Athens,,,,,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,Non-affiliated:Operational,	2024-08-02,Nick KALAMARAS
