Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
Agárd,,	1996-04-18,,Operational,Unknown,Land (fixed),"0-348-1-35315|primary,0-20000-0-12846",Europe,,Hungary,47.19,18.583611,104.3,,UTC+1,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SPECI;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Total radiation measurements.,Snow - Fully humid - Warm summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within hollows of low altitude,,GBON:Operational,	2022-09-13,Imre Szöllősi
Aszód,,	1997-12-31,,Operational,Operational,Land (fixed),0-348-1-44214|primary,Europe,,Hungary,47.65556,19.47639,161.4,,,,,,,,,,,25|1410,GOS General:Operational,	2021-12-06,HUN NMHS
Babócsa,,	2014-06-26,,Operational,Operational,Land (fixed),0-348-1-28609|primary,Europe,,Hungary,46.02472,17.33667,110.1,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Bagamér,,	2014-06-12,,Operational,Operational,Land (fixed),0-348-1-74500|primary,Europe,,Hungary,47.44,22.00111,124.2,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Baja Csillagvizsgáló,,	1984-07-11,,Operational,Unknown,Land (fixed),"0-348-1-48101|primary,0-20000-0-12960",Europe,,Hungary,46.179722,19.010556,111,,UTC+1,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;GAMMA RAY;RADSAMP;SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Gamma ray measurements; Radioactive sampling.,Snow - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of low altitude,,GBON:Operational,	2022-09-13,Imre Szöllősi
Baskó,,	1999-05-27,,Operational,Operational,Land (fixed),0-348-1-61617|primary,Europe,,Hungary,48.33333,21.33306,410.3,,,,,,,,,,,5|390,GOS General:Operational,	2021-12-06,HUN NMHS
Boda,,	2023-11-29,,Operational,Operational,Land (fixed),0-348-1-38537|primary,Europe,,Hungary,46.08667,18.04639,233,,,,,,,,,,,,RBON:Operational,	2024-05-03,HUN NMHS
Budapest Ferihegy,,	2010-04-07,,Operational,Unknown,Land (fixed),"0-348-1-44625|primary,0-20000-0-12839",Europe,,Hungary,47.436944,19.254167,139,,UTC+1,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Warm summer,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of low altitude,,GBON:Operational,	2022-09-13,Imre Szöllősi
Budapest János-hegy,,	2014-10-02,,Operational,Operational,Land (fixed),0-348-1-34429|primary,Europe,,Hungary,47.51861,18.95889,515,,,,,,,,,,,,GOS General:Operational,	2022-09-13,Imre Szöllősi
Budapest Lágymányos,,	1999-10-29,,Operational,Operational,Land (fixed),0-348-1-44505|primary,Europe,,Hungary,47.47472,19.06194,144.6,,,,,,,,,,,883|2570,GOS General:Operational,	2022-09-13,Imre Szöllősi
