Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
ABU NJAYM,,	2001-01-01,,Partly operational,Operational,Land (fixed),0-20000-0-62018|primary,Africa,,Libya,30.3552,15.2542,90.48,,,Libyan National Meteorological Centre,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;RBCN;RBSN(S);SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Partly operational, RBSN(S) - deprecated:Closed",	2022-09-17,Faraj M ZAYET
AGEDABIA,,	1946-01-01,,Silent,Unknown,Land (fixed),0-20000-0-62055|primary,Africa,,Libya,30.7166666667,20.1666666667,6,,,Libyan National Meteorological Centre,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;RBCN;RBSN(S);STATION TEMPORARILY CLOSED / TEMPORAIREMENT FERMEE;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Stand-by, RBSN(S) - deprecated:Closed",	2017-11-08,Faraj M ZAYET
AL-MARJ,,	2001-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-62054|primary,Africa,,Libya,32.5166666667,20.8833333333,334,,UTC-2,Libyan National Meteorological Centre,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;RBCN;RBSN(S);STATION TEMPORARILY CLOSED / TEMPORAIREMENT FERMEE;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-01-04,Faraj M ZAYET
BENINA,,	1945-01-01,,Operational,Operational,Land (fixed),0-20000-0-62053|primary,Africa,,Libya,32.1,20.2666666667,131,,UTC+2,Libyan National Meteorological Centre,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;GSN;M/B;METAR;RBCN;RBSN(ST);SPECI;STATION TEMPORARILY CLOSED / TEMPORAIREMENT FERMEE;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,Steppe - Cold arid,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(ST) - deprecated:Closed",	2023-01-05,Faraj M ZAYET
BENWLID,,	2013-09-01,	2022-06-07,Silent,Unknown,Land (fixed),0-20000-0-62014|primary,Africa,,Libya,31.7405555555,13.9572222222,270.2,,,Libyan National Meteorological Centre,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);RBCN;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Stand-by, RBSN(S) - deprecated:Closed",	2022-09-19,Faraj M ZAYET
DERNA,,	1945-01-01,,Operational,Unknown,Land (fixed),0-434-0-62059|primary,Africa,,Libya,32.78443,22.5808,25,,UTC+2,Libyan National Meteorological Centre,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;RBCN;RBSN(S);STATION TEMPORARILY CLOSED / TEMPORAIREMENT FERMEE;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Steppe - Hot arid,,,(unknown) at lowest relative elevation within hills of low altitude,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Partly operational, RBSN(S) - deprecated:Closed",	2022-12-13,Faraj M ZAYET
EL HAMADA,,	2016-04-28,,Silent,Unknown,Land (fixed),0-20000-0-62121|primary,Africa,,Libya,29.5166666667,12.9333333333,,,,Libyan National Meteorological Centre,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"RBON:Stand-by, RBSN(S) - deprecated:Closed",	2017-11-08,Faraj M ZAYET
EL KHOMS,,	1986-01-01,,Operational,Operational,Land (fixed),0-20000-0-62012|primary,Africa,,Libya,32.66837,14.24072,25,,UTC+2,Libyan National Meteorological Centre,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;CLIMAT(C);EVAP;RBCN;RBSN(S);SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,(unknown),,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-07-05,Faraj M ZAYET
GARIAN,,	1949-01-01,,Operational,Operational,Land (fixed),0-20000-0-62011|primary,Africa,,Libya,32.092,13.0043,728.9,,UTC-2,Libyan National Meteorological Centre,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: STATION TEMPORARILY CLOSED / TEMPORAIREMENT FERMEE (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2023-01-05,Faraj M ZAYET
GARIAT EL-SHARGHIA,,	1968-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-62120|primary,Africa,,Libya,30.3908333333,13.5852777777,497,,,Libyan National Meteorological Centre,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;M;RBCN;RBSN(S);SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-12-01,Mohan Abayasekara
