Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
BEROVO,,	1923-04-13,,Operational,Partly operational,Land (fixed),0-20000-0-13598|primary,Europe,,"North Macedonia, Republic of",41.716753,22.849139,837,,UTC+1,National Hydrometeorological Service of the Republic of  North Macedonia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of high altitude,,"GBON:Operational, GOS General:Operational",	2023-01-13,Aleksandar Karanfilovski
BITOLA,,	1896-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-13583|primary,Europe,,"North Macedonia, Republic of",41.05,21.3666666667,589,,UTC+1,National Hydrometeorological Service of the Republic of  North Macedonia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);RBCN;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Dry summer - Very cold winter,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBSN(S) - deprecated:Closed",	2023-01-17,Aleksandar Karanfilovski
DEBAR,,	1946-08-01,,Operational,Unknown,Land (fixed),0-20000-0-13573|primary,Europe,,"North Macedonia, Republic of",41.523399,20.512539,630,From map,UTC+1,National Hydrometeorological Service of the Republic of  North Macedonia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within mountains of middle altitude,,GOS General:Operational,	2023-01-11,Aleksandar Karanfilovski
DEMIR KAPIJA,,	1932-09-01,,Operational,Partly operational,Land (fixed),0-20000-0-13592|primary,Europe,,"North Macedonia, Republic of",41.409335,22.237293,126,,UTC+1,National Hydrometeorological Service of the Republic of  North Macedonia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2023-01-15,Aleksandar Karanfilovski
GEVGELIJA,,	1929-04-01,,Operational,Operational,Land (fixed),"0-20000-0-13597|primary,0-807-0-AMS1042",Europe,,"North Macedonia, Republic of",41.15,22.5025,61,From map,UTC+1,National Hydrometeorological Service of the Republic of  North Macedonia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Warm summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,A flat at lowest relative elevation within hills of low altitude,,"GBON:Operational, GOS General:Operational",	2023-01-15,Aleksandar Karanfilovski
GOSTIVAR,,	2020-06-26,,Operational,Operational,Land (fixed),0-807-0-13570|primary,Europe,,"North Macedonia, Republic of",41.792222,20.900633,534,From map,,National Hydrometeorological Service of the Republic of  North Macedonia,,,Automatic weather station.,Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within mountains of high altitude,,GOS General:Operational,	2023-04-29,Aleksandar Karanfilovski
GRADSKO,,	2017-11-10,,Operational,Silent,Land (fixed),"0-807-0-13589|primary,0-807-0-Gradsko",Europe,,"North Macedonia, Republic of",41.572271,21.945248,197,From map,UTC+1,National Hydrometeorological Service of the Republic of  North Macedonia,,,Automatic meteorological station.,Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within mountains of high altitude,,GOS General:Operational,	2023-01-19,Aleksandar Karanfilovski
GURISTE,,	1971-05-15,,Operational,Partly operational,Land (fixed),"0-20000-0-13590|primary,0-807-0-RAD001",Europe,,"North Macedonia, Republic of",41.898753,21.836121,854,From map,UTC+1,National Hydrometeorological Service of the Republic of  North Macedonia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Warm summer,Closed (>40%) broadleaved deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at highest relative elevation within hills of middle altitude,,"GOS General:Operational, WRO:Operational",	2023-04-30,Aleksandar Karanfilovski
KARGO,,	2010-02-01,,Operational,Operational,Land (fixed),"0-807-0-13490|primary,0-807-0-Kargo",Europe,,"North Macedonia, Republic of",41.822582,22.085741,272,From map,UTC+1,National Hydrometeorological Service of the Republic of  North Macedonia,,,Automatic meteorological station.,Warm temperate - Dry and hot summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within mountains of high altitude,,GOS General:Operational,	2023-01-19,Aleksandar Karanfilovski
KAVADARCI,,	1950-02-01,,Operational,Partly operational,Land (fixed),0-20000-0-13599|primary,Europe,,"North Macedonia, Republic of",41.4333333333,22.0333333333,260,From map,UTC+1,National Hydrometeorological Service of the Republic of  North Macedonia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2023-01-19,Aleksandar Karanfilovski
