Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
BADIANGARA,,	2016-01-01,,Partly operational,Unknown,Land (fixed),0-466-2-051435|primary,Africa,"Casablanca, Morocco",Mali,14.3,-3.6,282,,,Agence Nationale de la Météorologie du Mali,,,,,,,,,"GBON:Pre-operational, RBON:Pre-operational",	2023-06-13,Dicko Niamé
BAFOULABE,,	2020-12-31,,Operational,Unknown,Land (fixed),0-466-2-011257|primary,Africa,"Casablanca, Morocco",Mali,12.5,-8.5,99,,,Agence Nationale de la Météorologie du Mali,,,,,,,,,"GBON:Pre-operational, RBON:Operational",	2023-06-13,Dicko Niamé
BAGUINEDA,,	2017-01-01,,Operational,Unknown,Land (fixed),0-466-16001-01BAG|primary,Africa,"Casablanca, Morocco",Mali,12.6,-7.8,317,,,,,,,,,,,,GBON:Operational,	2023-06-16,MLI NMHS
BAMAKO/SENOU,,	1975-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-61291|primary,Africa,"Casablanca, Morocco",Mali,12.5333333333,-7.95,380,,UTC,Agence Nationale de la Meteorologie (MALI-METEO),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;M/B;RBCN;RBSN(ST);RSD;SOILTEMP;SUNDUR;WR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Radar storm and meteorological phenomena detection.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(ST) - deprecated:Closed",	2024-06-10,NGARMADJI MADJID
BANAMBA,,	2016-07-01,,Operational,Unknown,Land (fixed),0-466-2-021353|primary,Africa,"Casablanca, Morocco",Mali,13.5,-7.4,337,,,Agence Nationale de la Meteorologie (MALI-METEO),,,,,,,,,"GBON:Pre-operational, RBON:Operational",	2023-06-13,Dicko Niamé
BOUGOUNI,,	1924-01-01,,Operational,Operational,Land (fixed),0-20000-0-61296|primary,Africa,"Casablanca, Morocco",Mali,11.4166666667,-7.5,350,,,Agence Nationale de la Meteorologie (MALI-METEO),,,"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;EXCEPT/SAUF 01,02,04,13,14,16,19,20*;M/B;RBCN;RBSN(S);SOILTEMP;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Solar radiation measurements.",,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-09-13,Dicko Niamé
DIDIENI,,	2022-06-01,,Operational,Unknown,Land (fixed),0-466-2-011389|primary,Africa,"Casablanca, Morocco",Mali,13.8,-8,391,,,Agence Nationale de la Meteorologie (MALI-METEO),,,,,,,,,"GBON:Pre-operational, RBON:Operational",	2023-06-13,Dicko Niamé
DIEMA,,	2019-11-01,,Operational,Unknown,Land (fixed),0-466-2-011456|primary,Africa,"Casablanca, Morocco",Mali,14.5,-9.1,250,,,Agence Nationale de la Météorologie du Mali,,,,,,,,,"GBON, RBON:Operational",	2023-06-13,Dicko Niamé
DIOILA,,	2000-01-01,,Operational,Unknown,Land (fixed),0-20000-0-61288|primary,Africa,"Casablanca, Morocco",Mali,12.4833333333,-6.8,,,,Agence Nationale de la Meteorologie (MALI-METEO),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2023-06-13,Dicko Niamé
FANA,,	2021-08-01,,Operational,Unknown,Land (fixed),0-466-2-021276|primary,Africa,"Casablanca, Morocco",Mali,12.7,-6.9,332,,,Agence Nationale de la Météorologie du Mali,,,,,,,,,"GBON:Pre-operational, RBON:Operational",	2023-06-13,Dicko Niamé
GAO,,	1919-01-01,,Operational,Unknown,Land (fixed),0-20000-0-61226|primary,Africa,"Casablanca, Morocco",Mali,16.2666666667,-0.05,265,,,Agence Nationale de la Meteorologie (MALI-METEO),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;M/B;RBCN;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-05-22,Adama KONATE KONATE
