Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
AIOUN EL ATROUSS,,	1946-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-61499|primary,Africa,"Casablanca, Morocco",Mauritania,16.7,-9.6,223.4,(unknown),UTC,Office National de la Météorologie (National Office of Meteorology) [Mauritania,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;M/B;RBCN;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,Desert - Hot arid,"Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)(Surface cover types (GlobCover2009))",,(unknown) at middle relative elevation within hollows of low altitude,,"CLIMAT(C) - deprecated:Closed, GBON, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-05-03,Fatma El Jili
AKJOUJT,,	1951-01-01,,Operational,Unknown,Land (fixed),0-20000-0-61437|primary,Africa,"Casablanca, Morocco",Mauritania,19.75,-14.3666666667,118.42,,UTC,Office National de la Météorologie (National Office of Meteorology) [Mauritania,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;M/B;RBCN;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,Desert - Hot arid,,,,,"CLIMAT(C) - deprecated:Closed, GBON, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-05-03,Fatma El Jili
ALEG,,	2015-05-31,,Operational,Unknown,Land (fixed),0-20000-0-61470|primary,Africa,"Casablanca, Morocco",Mauritania,17.11,-14.53,45,,UTC,Office National de la Météorologie (National Office of Meteorology) [Mauritania,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Desert - Hot arid,"Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)(Surface cover types (GlobCover2009))",,(unknown) at middle relative elevation within hollows of very low altitude,,"GBON, GOS General:Operational",	2023-05-31,Fatma El Jili
ATAR,,	1941-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-61421|primary,Africa,"Casablanca, Morocco",Mauritania,20.5166666667,-13.0666666667,226,,UTC,Office National de la Météorologie (National Office of Meteorology) [Mauritania,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;GSN;M/B;RBCN;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,Desert - Hot arid,,,,,"CLIMAT(C) - deprecated:Closed, GBON, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-05-03,Fatma El Jili
BASSIKOUNOU,,	1997-01-01,,Operational,Unknown,Land (fixed),0-20000-0-61520|primary,Africa,"Casablanca, Morocco",Mauritania,15.8666666667,-5.9333333333,261,,,Office National de la Météorologie (National Office of Meteorology) [Mauritania,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-04-28,
BIR MOGHREIN,,	1949-01-01,,Operational,Unknown,Land (fixed),0-20000-0-61401|primary,Africa,"Casablanca, Morocco",Mauritania,25.2333333333,-11.6166666667,359,,UTC,Office National de la Météorologie (National Office of Meteorology) [Mauritania,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;GSN;M/B;RBCN;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,Desert - Hot arid,,,,,"CLIMAT(C) - deprecated:Closed, GBON, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-05-03,Fatma El Jili
BOUTILIMIT,,	1951-01-01,,Operational,Unknown,Land (fixed),0-20000-0-61461|primary,Africa,"Casablanca, Morocco",Mauritania,17.5333333333,-14.6833333333,77,,UTC,Office National de la Météorologie (National Office of Meteorology) [Mauritania,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;M/B;RBCN;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,Desert - Hot arid,,,,,"CLIMAT(C) - deprecated:Closed, GBON, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-05-03,Fatma El Jili
KAEDI,,	1982-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-61492|primary,Africa,"Casablanca, Morocco",Mauritania,16.15,-13.5166666667,17,,UTC,Office National de la Météorologie (National Office of Meteorology) [Mauritania,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;M/B;RBCN;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,Desert - Hot arid,,,,,"CLIMAT(C) - deprecated:Closed, GBON, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-05-03,Fatma El Jili
KIFFA,,	1961-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-61498|primary,Africa,"Casablanca, Morocco",Mauritania,16.6333333333,-11.4,115.4,,UTC,Office National de la Météorologie (National Office of Meteorology) [Mauritania,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;M/B;RBCN;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,Desert - Hot arid,,,,,"CLIMAT(C) - deprecated:Closed, GBON, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-05-03,Fatma El Jili
NEMA,,	1941-01-01,,Operational,Unknown,Land (fixed),0-20000-0-61497|primary,Africa,"Casablanca, Morocco",Mauritania,16.6,-7.2666666667,270,(unknown),UTC,Office National de la Météorologie (National Office of Meteorology) [Mauritania,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;GSN;M/B;RBCN;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,Desert - Hot arid,,,,,"CLIMAT(C) - deprecated:Closed, GBON, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-05-03,Fatma El Jili
