Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
BAR,,,,Operational,Operational,Land (fixed),0-20000-0-13461|primary,Europe,,Montenegro,42.1,19.0833333333,4,,,Hydrometeorological Institute of Montenegro,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;PH;RBSN(S);SOILTEMP;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations; Solar radiation measurements.,,,,,,"GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
HERCEG NOVI-IGALO,,,,Operational,Operational,Land (fixed),0-20000-0-13455|primary,Europe,,Montenegro,42.45,18.55,10,,,Hydrometeorological Institute of Montenegro,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
KOLASIN,,,,Operational,Operational,Land (fixed),0-20000-0-13465|primary,Europe,,Montenegro,42.8333333333,19.5333333333,944,,,Hydrometeorological Institute of Montenegro,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: PH;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
NIKSIC,,,,Operational,Partly operational,Land (fixed),0-20000-0-13459|primary,Europe,,Montenegro,42.7666666667,18.95,647,,,Hydrometeorological Institute of Montenegro,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: PH;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,,,,,,"GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
PLJEVLJA,,,,Operational,Partly operational,Land (fixed),0-20000-0-13363|primary,Europe,,Montenegro,43.35,19.35,784,,,Hydrometeorological Institute of Montenegro,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);PH;RBCN;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,,,,,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
PODGORICA-GOLUBOVCI,,	1951-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-13462|primary,Europe,,Montenegro,42.3666666667,19.25,33,,,Hydrometeorological Institute of Montenegro,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;RBCN;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
PODGORICA-GRAD,,,,Operational,Partly operational,Land (fixed),0-20000-0-13463|primary,Europe,,Montenegro,42.4333333333,19.2833333333,49,,,Hydrometeorological Institute of Montenegro,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);PH;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
TIVAT,,	1963-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-13457|primary,Europe,,Montenegro,42.4,18.7333333333,5,,,Hydrometeorological Institute of Montenegro,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
ULCINJ,,,,Operational,Operational,Land (fixed),0-20000-0-13464|primary,Europe,,Montenegro,41.9166666667,19.2166666667,24,,,Hydrometeorological Institute of Montenegro,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: PH;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,,,,,,GOS General:Operational,	2016-04-28,
ZABLJAK,,,,Operational,Operational,Land (fixed),0-20000-0-13361|primary,Europe,,Montenegro,43.15,19.1333333333,1450,,,Hydrometeorological Institute of Montenegro,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: M;MONT;PH;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Observations of cloud below the level of the station; Phenological observations.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
Zabljak,,	1993-01-01,	1993-01-01,Closed,Unknown,Land (fixed),0-20008-0-ZBL|primary,Europe,,Montenegro,43.1500015259,19.1333332062,1450,,UTC+1,,,,"The station is situated in a mountain region in the southwestern part of Yugoslavia, in the area of Durmitor. In 1980 UNESCO made a decision on including the national park Durmitor in the world cultural heritage list. The area of Durmitor has the agricultural land of about 0.61 hectares per capita, and woodland of 0.48 hectares per capita. The agricultural land trend amounts to 73000 hectares, and arable land to about 20000 hectares (pastries 71%, meadows 26%, ploughfields 2% and orchards 1%) The Zabljak station is located in this park in the small town of the same name, with the population of 2000. In its immediate surroundings there are private houses using wood and electricity as a heating fuel. The closest road is being constructed at 0.1km distance of the station. The closest industry center is Pljevlja (has about 30000 inhabitants) at 50km distance from the station, with important industrial capacities of power plant and strip mining of pit coal. Southerly winds are most frequent at the station and the calme covers 54% of the year.",Snow - Fully humid - Warm summer,,,,,"EMEP:Closed, GAW Regional:Closed",	2009-01-23,
