Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
AL HOCEIMA,,	1966-01-01,,Operational,Operational,Land (fixed),0-20000-0-60107|primary,Africa,,Morocco,35.1833333333,-3.85,27,,,Direction Générale de la Météorologie (Morocco),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;EVAP;M/B;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,"GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
Agadir,"Agadir Inezganne,GMAA",	1921-01-01,,Operational,Operational,Land (fixed),0-20000-0-60250|primary,Africa,,Morocco,30.3833333333,-9.5666666667,18,,,Direction Générale de la Météorologie (Morocco),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;M/B;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,Steppe - Hot arid,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-03-25,MAR NMHS 
Agdz,,	2013-01-02,,Operational,Unknown,Land (fixed),"0-504-1-60316|primary,0-504-0-60316",Africa,,Morocco,30.686388,-6.55944,942,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,GOS General:Operational,	2023-10-23,Mounir Aziz
Ain Bni Mathar,,	2013-01-02,,Operational,Unknown,Land (fixed),0-504-1-60282|primary,Africa,,Morocco,34.2425,-2.02688,936,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
Ait Daoud,,	2013-01-02,,Operational,Unknown,Land (fixed),0-504-1-60236|primary,Africa,,Morocco,31.08333,-9.35,351,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
Ait Ourir,,	2013-01-02,,Operational,Unknown,Land (fixed),0-504-1-60309|primary,Africa,,Morocco,31.55,-7.6667,936,From map,UTC,Direction Générale de la Météorologie (Morocco),,,,Steppe - Hot arid,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within plains of middle altitude,,GOS General:Operational,	2021-08-23,MAR NMHS 
Akka,,	2013-01-02,,Operational,Unknown,Land (fixed),0-504-1-60301|primary,Africa,,Morocco,29.391944,-8.25777,540,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
Aknoul,,	2014-05-05,,Operational,Unknown,Land (fixed),0-504-1-60186|primary,Africa,,Morocco,34.6469,-3.86472,1012,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
Amizmiz,,	2014-05-05,,Operational,Unknown,Land (fixed),0-504-1-60098|primary,Africa,,Morocco,31.2166,-8.2333,1000,,UTC,Direction Générale de la Météorologie (Morocco),,,,Steppe - Hot arid,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
Anza,,	2012-05-24,,Operational,Unknown,Land (fixed),0-504-1-60254|primary,Africa,,Morocco,30.4342,-9.6422,50,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
Aoulouz,,	2013-01-02,,Operational,Unknown,Land (fixed),0-504-1-60248|primary,Africa,,Morocco,29.88222,-8.442777,683,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
Aousserd,,	2013-01-01,,Operational,Partly operational,Land (fixed),0-504-1-60219|primary,Africa,,Morocco,22.552,-14.3357,210,GPS,UTC,Direction Générale de la Météorologie (Morocco),www.marocmeteo.ma,,,Desert - Hot arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of middle altitude,5|6,"GBON:Operational, GTOS, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-02-07,Mounir Aziz
Arfoud,,	2014-05-05,,Operational,Unknown,Land (fixed),0-504-1-60255|primary,Africa,,Morocco,31.4336,-4.2322,828,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,"GOS General:Operational, WRO",	2021-08-23,MAR NMHS 
Assa,,	2014-05-05,,Operational,Unknown,Land (fixed),0-504-1-60207|primary,Africa,,Morocco,28.6155,-9.4505,342,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
Assilah,,	2014-05-05,,Operational,Unknown,Land (fixed),0-504-1-60113|primary,Africa,,Morocco,35.4652,-6.0371,32,From map,UTC,Direction Générale de la Météorologie (Morocco),,,,Warm temperate - Dry and hot summer,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
Azemmour,Centre de Conseil Agricole  Sidi Ali Ben Hamdouche,	2014-05-05,,Operational,Unknown,Land (fixed),0-504-1-60239|primary,Africa,,Morocco,33.295556,-8.330833,13,,UTC,Direction Générale de la Météorologie (Morocco),,,,,,,,,GOS General:Operational,	2023-08-07,Mounir Aziz
Azilal,,	2014-05-05,,Operational,Operational,Land (fixed),0-504-1-60258|primary,Africa,,Morocco,31.9568,-6.5587,1385,,,,,,,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-29,MAR NMHS 
Aït Melloul,Aéroport Agadir Al Massira,	1990-01-01,,Operational,Operational,Land (fixed),0-20000-0-60252|primary,Africa,,Morocco,30.3288888889,-9.3994444444,74,,,Direction Générale de la Météorologie (Morocco),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;EVAP;M/B;RBSN(ST);SOILTEMP;SUNDUR;WT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,Steppe - Hot arid,,,,,"GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2021-01-08,Mounir Aziz
BOUARFA,,	1966-01-01,,Operational,Operational,Land (fixed),0-20000-0-60200|primary,Africa,,Morocco,32.5666,-1.95,1142,GPS,UTC,Direction Générale de la Météorologie (Morocco),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;M/B;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,Desert - Hot arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of high altitude,20|30,"GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-03-25,MAR NMHS 
Bab Berred,,	2013-01-02,,Operational,Unknown,Land (fixed),0-504-1-60303|primary,Africa,,Morocco,34.996111,-4.89527,1017,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
Barrage Bentachfine,,	2013-01-02,,Operational,Unknown,Land (fixed),0-504-1-60314|primary,Africa,,Morocco,29.8825,-9.55722,170,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
Ben Ahmed,,	2012-04-16,,Operational,Unknown,Land (fixed),0-504-1-60175|primary,Africa,,Morocco,33.0669,-7.2416,620,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
