Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
AGADEZ,,	1941-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-61024|primary,Africa,"Casablanca, Morocco",Niger,16.9666666667,7.9833333333,501,,UTC+1,Direction de la Meteorologie nationale [Niger],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;GSN;M/B;RBCN;RBSN(SP);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Partly operational, GOS General:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(SP) - deprecated:Closed",	2023-12-13,Jémilatou Abdoulaye
Alléla,,	2020-01-01,,Operational,Unknown,Land (fixed),0-562-0-61103|primary,Africa,"Casablanca, Morocco",Niger,13.9154,4.8231,257,,,,,,,,,,,,GBON:Operational,	2023-05-30,NER NMHS
BILMA,,	1923-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-61017|primary,Africa,"Casablanca, Morocco",Niger,18.6833333333,12.9166666667,355,,UTC+1,Direction de la Meteorologie nationale [Niger],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;GSN;M/B;RBCN;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,Desert - Hot arid,,,A flat (unknown) relative elevation (unknown) of middle altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Partly operational, GOS General:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-12-14,Jémilatou Abdoulaye
BIRNI-N'KONNI,,	1950-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-61075|primary,Africa,"Casablanca, Morocco",Niger,13.8,5.25,272,,,Direction de la Meteorologie nationale [Niger],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;M/B;RBCN;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Partly operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-12-14,Jémilatou Abdoulaye
Bagaroua,,	2020-01-01,,Operational,Unknown,Land (fixed),0-562-0-61100|primary,Africa,"Casablanca, Morocco",Niger,14.6443,4.347,290,,,,,,,,,,,,GBON:Operational,	2023-05-30,NER NMHS
Bangui,,	2020-01-01,,Operational,Unknown,Land (fixed),0-562-0-61104|primary,Africa,"Casablanca, Morocco",Niger,13.6875,6.1948,287,,,,,,,,,,,,GBON:Operational,	2023-05-30,NER NMHS
Chikal,,	2020-01-01,,Operational,Unknown,Land (fixed),0-562-0-61096|primary,Africa,"Casablanca, Morocco",Niger,14.251525,3.441597,345,,,,,,,,,,,,GBON:Operational,	2023-05-30,NER NMHS
DIFFA,,	1951-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-61085|primary,Africa,"Casablanca, Morocco",Niger,13.4166666667,12.7833333333,303,,,Direction de la Meteorologie nationale [Niger],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;M/B;RBCN;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Partly operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-12-14,Jémilatou Abdoulaye
DOSSO,,	1931-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-61053|primary,Africa,"Casablanca, Morocco",Niger,13.0333333333,3.3,,,,Direction de la Meteorologie nationale [Niger],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);RBCN;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Partly operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-12-14,Jémilatou Abdoulaye
Dakoro,,	2020-01-01,,Operational,Unknown,Land (fixed),0-562-0-61093|primary,Africa,"Casablanca, Morocco",Niger,14.5148,6.7817,434,,,,,,,,,,,,GBON:Operational,	2023-05-30,NER NMHS
