Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
FUNCHAL,Funchal / Observatório,	1864-01-01,,Operational,Operational,Land (fixed),"0-620-2001-08522|primary,0-20000-0-08522",Africa,,Portugal,32.647525,-16.89248333,58,,UTC,Instituto Portugues do Mar e Atmosfera,http://www.jcommops.org/board/wa/Platform?ref=1301000,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);GSN;OZONE;RADSAMP;RBCN;RBSN(ST);SEA/SWELL;SEATEMP{002};SOILTEMP;SUNDUR;WT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Ozone observations; Radioactive sampling; Sea and swell observations.,Warm temperate - Dry and hot summer,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)(Surface cover types (GlobCover2009))",,(unknown) at lowest relative elevation within mountains of middle altitude,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(ST) - deprecated:Closed",	2023-11-27,Manuel Mendes
FUNCHAL/S.CATARINA,Santa Catarina / Aeródromo,	1958-01-01,,Operational,Partly operational,Land (fixed),"0-620-2001-08521|primary,0-20000-0-08521",Africa,,Portugal,32.693167,-16.776208,58,,UTC,Instituto Portugues do Mar e Atmosfera,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;M/B;MAGNET;METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,Warm temperate - Dry and hot summer,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)(Surface cover types (GlobCover2009))",,(unknown) at lowest relative elevation within rises of low altitude,,"GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-03-10,Manuel Mendes
PORTO SANTO,Porto Santo / Aeródromo,	1940-01-01,,Operational,Partly operational,Land (fixed),"0-620-2001-08524|primary,0-20000-0-08524",Africa,,Portugal,33.071458,-16.348483,82,From map,UTC,Instituto Portugues do Mar e Atmosfera,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);M/B;MAGNET;METAR;RBCN;RBSN(S);SEA/SWELL{003};SPECI;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Sea and swell observations; Total radiation measurements.,Warm temperate - Dry and hot summer,Sparse (<15%) vegetation(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of very low altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-03-10,Manuel Mendes
SELVAGEM GRANDE,,	2016-12-01,,Operational,Partly operational,Land (fixed),"0-620-2101-08520|primary,0-620-2001-0520,0-620-2001-08520",Africa,,Portugal,30.14537,-15.871041,150,From map,UTC,Instituto Português  do Mar e da Atmosfera (Portuguese Institute of Meteorology),,,,,,,,,GOS General:Operational,	2024-08-01,Manuel Mendes
ALVERCA,Alverca B.A.,	1980-01-01,,Operational,Operational,Land (fixed),"0-620-1003-08537|primary,0-20000-0-08537",Europe,,Portugal,38.88662,-9.02992,3,GPS,UTC,Instituto Portugues do Mar e Atmosfera,,,"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;NOT ON 6,7 & PUBLIC HOLIDAYS/SAUF LES 6,7 & JOURS FERIES*;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.",Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within hills of very low altitude,,GOS General:Operational,	2023-12-05,Manuel Mendes
ANGRA DO HEROISMO (ACORES),Angra do Heroísmo / Observatório José Agostinho,	1865-01-01,,Operational,Partly operational,Land (fixed),"0-620-2001-08511|primary,0-20000-0-08511",Europe,,Portugal,38.65993,-27.22424,90,From map,,Instituto Portugues do Mar e Atmosfera,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;GAW;OZONE;SEATEMP;SEISMO;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Ozone observations; Seismological observations; Total radiation measurements.,Warm temperate - Dry and hot summer,,,,,"GBON:Operational, GOS General:Operational",	2021-05-18,Manuel Mendes
BEJA (8562-0),,	1873-01-01,,Operational,Operational,Land (fixed),"0-620-2001-08562|primary,0-20000-0-08562",Europe,,Portugal,38.025728,-7.867319,246,From map,UTC,Instituto Portugues do Mar e Atmosfera,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;GAMMA RAY;MAGNET;RADSAMP;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Gamma ray measurements; Radioactive sampling.,Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at high relative elevation within rises of low altitude,,"GBON:Operational, GOS General:Operational",	2023-03-10,Manuel Mendes
BEJA/B. AEREA,Beja B.A.,	1996-01-01,,Operational,Operational,Land (fixed),"0-620-1003-08561|primary,0-20000-0-08561",Europe,,Portugal,38.0785,-7.92656,194,From map,,Instituto Portugues do Mar e Atmosfera,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm temperate - Dry and hot summer,,,,,"GBON:Operational, GOS General:Operational",	2024-03-26,Manuel Mendes
BRAGANCA (8575-0),,	1960-01-01,,Operational,Operational,Land (fixed),"0-620-2001-08575|primary,0-20000-0-08575",Europe,,Portugal,41.80378747,-6.74283704,690.71,GPS,UTC,Instituto Portugues do Mar e Atmosfera,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;GAMMA RAY;GAW;RADSAMP;RBCN;RBSN(S);SKYRA;SOILTEMP;SOLRA;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Gamma ray measurements; Radioactive sampling; Sky radiation measurements; Solar radiation measurements; Total radiation m,Warm temperate - Dry and warm summer,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)(Surface cover types (GlobCover2009))",,(unknown) at low relative elevation within hills of middle altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-05-26,Ricardo João Ratola Capela Deus
CABO CARVOEIRO,,	1960-01-01,,Operational,Unknown,Land (fixed),0-20000-0-08530|primary,Europe,,Portugal,39.35,-9.4,32,,,Instituto Português  do Mar e da Atmosfera (Portuguese Institute of Meteorology),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: LH;SEA/SWELL;SEATEMP{002};SUNDUR;TIDE (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Sea and swell observations.,,,,,,GOS General:Operational,	2017-06-01,Ricardo João Ratola Capela Deus
