Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
ADAMCLISI,,	1956-08-01,,Operational,Operational,Land (fixed),0-20000-0-15479|primary,Europe,,Romania,44.0882700719,27.965626028,158,GPS,UTC+2,National Meteorological Administration,,,Observation remarks: AGRIMET;AUT;M/B;PH;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Phenological observations.,,,,,,"GBON:Operational, GOS General:Operational",	2024-08-05,Ancuta MANEA
ADJUD,,	1953-01-01,,Operational,Operational,Land (fixed),0-20000-0-15219|primary,Europe,,Romania,46.1047277462,27.1704041393,101,GPS,UTC+2,National Meteorological Administration,,,Observation remarks: AGRIMET;AUT;M/B;PH;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Phenological observations.,,,,,,"GBON:Operational, GOS General:Operational",	2024-07-25,Ancuta MANEA
ALBA IULIA,,	1881-01-01,,Operational,Operational,Land (fixed),0-20000-0-15208|primary,Europe,,Romania,46.0639114563,23.5634021392,246,GPS,UTC+2,National Meteorological Administration,,,Observation remarks: AUT;M/B; SUNDUR; SOILTEMP (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,"GBON:Operational, GOS General:Operational",	2024-07-25,Ancuta MANEA
ALEXANDRIA,,	1899-07-01,,Operational,Operational,Land (fixed),0-20000-0-15489|primary,Europe,,Romania,43.9779209155,25.3528455408,75.46,GPS,UTC+2,National Meteorological Administration,,,Observation remarks: AGRIMET;AUT;M/B;PH;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Phenological observations.,,,,,,"GBON:Operational, GOS General:Operational",	2024-07-24,Ancuta MANEA
APA NEAGRA,,	1954-04-01,,Operational,Operational,Land (fixed),0-20000-0-15341|primary,Europe,,Romania,44.9968061809,22.8595071983,250,GPS,UTC+2,National Meteorological Administration,,,Observation remarks: AUT;M/B;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,"GBON:Operational, GOS General:Operational",	2024-07-25,Ancuta MANEA
ARAD,,	1923-10-01,,Operational,Operational,Land (fixed),0-20000-0-15200|primary,Europe,,Romania,46.1335163958,21.3536215174,116.59,GPS,UTC+2,National Meteorological Administration,,,Observation remarks: AGRIMET;AUT;M/B;PH;RBSN(S);SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Phenological observations.,,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,,203|813,"GBON:Operational, RBON:Operational",	2024-07-24,Ancuta MANEA
BACAU,,	1896-01-01,,Operational,Operational,Land (fixed),0-20000-0-15150|primary,Europe,,Romania,46.5577777778,26.8966666667,174,GPS,UTC+2,National Meteorological Administration,,,Observation remarks: AGRIMET;AUT;M/B;PH;RBSN(S);SUNDUR;SOILTEMP (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Phenological observations.,,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,,250|907,"GBON:Operational, RBON:Operational",	2024-07-30,Ancuta MANEA
BACLES,,	1961-10-01,,Operational,Operational,Land (fixed),0-20000-0-15412|primary,Europe,,Romania,44.4761811099,23.1130718953,313,GPS,UTC+2,National Meteorological Administration,,,Observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements; Total radiation measurements.,,,,,,"GBON:Operational, GOS General:Operational",	2024-07-25,Ancuta MANEA
BAIA MARE,,	1874-12-01,,Operational,Operational,Land (fixed),0-20000-0-15014|primary,Europe,,Romania,47.6608333,23.473333,186.11,GPS,UTC+2,National Meteorological Administration,,,Observation remarks: A;AUT;M/B;SUNDUR; SOILTEMP (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,"GBON:Operational, GOS General:Operational",	2024-07-24,Ancuta MANEA
BAILE HERCULANE,,	1979-01-01,,Operational,Operational,Land (fixed),0-20000-0-15366|primary,Europe,,Romania,44.8810293002,22.416445096,190,GPS,UTC+2,National Meteorological Administration,,,Observation remarks: AUT;M/B (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,"GBON:Operational, GOS General:Operational",	2024-07-25,Ancuta MANEA
