Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
BANATSKI KARLOVAC,,,,Operational,Operational,Land (fixed),0-20000-0-13180|primary,Europe,,Serbia,45.05,21.0333333333,90,,,Republic Hydrometeorological Service of Serbia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
BEOGRAD,,,,Operational,Operational,Land (fixed),0-20000-0-13274|primary,Europe,,Serbia,44.8,20.4666666667,132,,,Republic Hydrometeorological Service of Serbia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);RBCN;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
BEOGRAD/KOSUTNJAK,,	1957-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-13275|primary,Europe,,Serbia,44.77139,20.42444,203,From map,UTC+1,Republic Hydrometeorological Service of Serbia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;RBSN(T) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm Temperate - Fully humid - Hot summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of low altitude,,"GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(T) - deprecated:Closed",	2024-05-14,Andreja Stanković
BEOGRAD/SURCIN,,,,Operational,Partly operational,Land (fixed),0-20000-0-13272|primary,Europe,,Serbia,44.8166666667,20.2833333333,96,,,Republic Hydrometeorological Service of Serbia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;RBSN(S);SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
CRNI VRH,,,,Operational,Operational,Land (fixed),0-20000-0-13289|primary,Europe,,Serbia,44.1166666667,21.95,1037,,,Republic Hydrometeorological Service of Serbia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;M;MONT;RBSN(S);SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Observations of cloud below the level of the station.,,,,,,"GBON:Operational, RBON:Operational, RBSN(S) - deprecated:Closed, WRO:Operational",	2016-04-29,
CUPRIJA,,,,Operational,Operational,Land (fixed),0-20000-0-13384|primary,Europe,,Serbia,43.9333333333,21.3833333333,123,,,Republic Hydrometeorological Service of Serbia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;PH;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,,,,,,"GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
DIMITROVGRAD (13397-0),,,,Operational,Operational,Land (fixed),0-20000-0-13397|primary,Europe,,Serbia,43.0166666667,22.75,448,,,Republic Hydrometeorological Service of Serbia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: PH;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,,,,,,"GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
JASTREBAC,,,,Operational,Unknown,Land (fixed),0-20000-0-13386|primary,Europe,,Serbia,43.3911111111,21.4433333333,1482.4,,,Republic Hydrometeorological Service of Serbia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RSD (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radar storm and meteorological phenomena detection.,,,,,,GOS General:Operational,	2016-04-28,
KIKINDA,,,,Operational,Operational,Land (fixed),0-20000-0-13174|primary,Europe,,Serbia,45.85,20.4666666667,81,,,Republic Hydrometeorological Service of Serbia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;PH;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,,,,,,"GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
KOPAONIK,,,,Operational,Operational,Land (fixed),0-20000-0-13378|primary,Europe,,Serbia,43.2833333333,20.8,1711,,,Republic Hydrometeorological Service of Serbia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;M;MONT;RBSN(S);SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Observations of cloud below the level of the station.,,,,,,"GBON:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
