Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
BABNO POLJE,,	2016-01-11,,Operational,Operational,Land (fixed),0-705-0-1376|primary,Europe,,Slovenia,45.64518,14.5449,755,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
BILJE,,	1991-11-27,,Operational,Operational,Land (fixed),0-705-0-245|primary,Europe,,Slovenia,45.8955597031,13.623984301,55,,,Slovenian Environment Agency (ARSO),Empty,Empty,AWS,,,,,64|790,GOS General:Operational,	2021-04-19,Franziska Stürzl
BLEGOŠ,,	2016-07-06,,Operational,Partly operational,Land (fixed),0-705-0-1917|primary,Europe,,Slovenia,46.16745,14.0816,1188,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
BOHINJSKA ČEŠNJICA,,	2015-02-12,,Operational,Operational,Land (fixed),0-705-0-1065|primary,Europe,,Slovenia,46.29423,13.94223,596,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
BORŠT PRI GORENJI VASI,,	2020-06-18,,Operational,Partly operational,Land (fixed),0-705-0-2167|primary,Europe,,Slovenia,46.08538,14.18193,564,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
BREGINJ,,	2015-11-11,,Operational,Partly operational,Land (fixed),0-705-0-1886|primary,Europe,,Slovenia,46.26248,13.42752,546,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
BUKOVSKI VRH,,	2015-12-16,,Operational,Partly operational,Land (fixed),0-705-0-1711|primary,Europe,,Slovenia,46.1402,13.88842,780,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
CELJE,,	1993-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-14023|primary,Europe,,Slovenia,46.2365796296,15.225869749,241.73,,,Meteorological Office [Slovenia],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;AGRIMET;PH;RBSN(S);SOILTEMP;SUNDUR(see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-08-17,Miha DEMSAR
CERKLJE OB KRKI,,	2005-06-01,,Operational,Partly operational,Land (fixed),0-20000-0-14122|primary,Europe,,Slovenia,45.8987055971,15.5184432499,154,,,Meteorological Office [Slovenia],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;METAR;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-08-04,Miha DEMSAR
CERKNIŠKO JEZERO,,	2015-04-21,,Operational,Partly operational,Land (fixed),0-705-0-1875|primary,Europe,,Slovenia,45.72297,14.39898,586,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
