Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
AADORF / TAENIKON,,	1970-01-01,,Operational,Operational,Land (fixed),0-20000-0-06679|primary,Europe,,Switzerland,47.479894,8.904917,539,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=TAE,,,,,,,55|1750,"Ceilometers, GBON:Operational, GOS General:Operational, Non-affiliated:Operational",	2023-02-28,CHE NMHS 
ACQUAROSSA / COMPROVASCO,,	1877-02-01,,Operational,Operational,Land (fixed),0-20000-0-06756|primary,Europe,,Switzerland,46.459522,8.935481,575.32,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=COM,,,,,,,4|180,"GBON:Operational, GOS General:Operational, Non-affiliated:Operational",	2019-06-04,CHE NMHS 
ADELBODEN,,	1899-08-01,,Operational,Operational,Land (fixed),0-20000-0-06735|primary,Europe,,Switzerland,46.492261,7.560422,1322.3,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=ABO,,,,,,,6|380,"Ceilometers, GBON:Operational, GOS General:Operational, Non-affiliated:Operational",	2023-02-28,CHE NMHS 
AIGLE,,	1880-11-01,,Operational,Operational,Land (fixed),0-20000-0-06712|primary,Europe,,Switzerland,46.326644,6.924478,381.02,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=AIG,,,,,,,33|580,"GBON:Operational, GOS General:Operational, Non-affiliated:Operational",	2019-06-04,CHE NMHS 
ALBIS,,	1987-01-01,,Operational,Unknown,Land (fixed),0-20000-0-06661|primary,Europe,,Switzerland,47.2841666667,8.5119444444,928,,,Federal Office of Meteorology and Climatology MeteoSwiss,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: WR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-04-28,
ALPNACH,,	1996-08-01,,Operational,Unknown,Land (fixed),0-20000-0-06658|primary,Europe,,Switzerland,46.936231,8.281808,445,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-beobachtungen&station=ALP,,,,,,,38|710,GOS General:Operational,	2019-06-04,CHE NMHS 
ALTDORF,,	1864-05-01,,Operational,Operational,Land (fixed),0-20000-0-06672|primary,Europe,,Switzerland,46.887075,8.621889,438,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=ALT,,,,,,,19|710,"Ceilometers, GBON:Operational, GOS General:Operational",	2023-02-28,CHE NMHS 
ALTDORF MIL,,,,Operational,Unknown,Land (fixed),0-20000-0-06844|primary,Europe,,Switzerland,46.8833333333,8.6377777778,447,,,Federal Office of Meteorology and Climatology MeteoSwiss,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-04-28,
ALTENRHEIN,,	1993-01-15,,Operational,Operational,Land (fixed),0-20000-0-06690|primary,Europe,,Switzerland,47.483675,9.566797,398,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=ARH,,,,,,,57|1020,"GBON:Operational, GOS General:Operational",	2019-06-04,CHE NMHS 
ANDEER,,	1892-01-11,,Operational,Operational,Land (fixed),0-20000-0-06787|primary,Europe,,Switzerland,46.610144,9.431969,987.1,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=AND,,,,,,,4|160,"Ceilometers, GBON:Operational, GOS General:Operational",	2023-02-28,CHE NMHS 
