Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
CAPE PHILLIPS,,	1991-01-01,,Operational,Operational,Land (fixed),0-20000-0-89661|primary,Antarctica,,Italy,-73.5183333333,169.7486111111,568,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: ANTON;AUT;CLIMAT(C) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"ANTON - deprecated:Closed, CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBON:Operational",	2016-04-28,
CAPE ROSS,,,,Operational,Partly operational,Land (fixed),0-20000-0-89666|primary,Antarctica,,Italy,-76.715,162.97,150,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: ANTON;AUT;CLIMAT(C) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"ANTON - deprecated:Closed, CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBON:Operational",	2016-04-28,
CONCORDIA,,,,Operational,Partly operational,Land (fixed),0-20000-0-89625|primary,Antarctica,,Italy,-75.1016666667,123.4119444444,3233,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: ANTON;ANTON(T);AUT;CLIMAT(C)*;GSN;RW OBSERVATION OCTOBER-FEBRUARY* (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"ANTON - deprecated:Closed, ANTON(T) - deprecated:Closed, GBON:Operational, GOS General:Operational, GSN:Operational, RBON:Operational",	2016-04-28,
MARIO ZUCHELLI STATION (BAIA TERRA NOVA),,	1993-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-89662|primary,Antarctica,,Italy,-74.6958333333,164.0922222222,92,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: ANTON;ANTON(T);AUT;CLIMAT(C);GSN;METAR;RW OBSERVATION OCTOBER-FEBRUARY* (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"ANTON - deprecated:Closed, ANTON(T) - deprecated:Closed, CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, GSN:Operational, RBON:Operational",	2016-04-28,
MID POINT,,	1998-11-14,,Silent,Unknown,Land (fixed),0-20000-0-89648|primary,Antarctica,,Italy,-75.5361111111,145.8588888889,2509,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: ANTON;AUT;CLIMAT(C) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"ANTON - deprecated:Closed, CLIMAT(C) - deprecated:Closed, GBON:Stand-by, GOS General:Stand-by, RBON:Stand-by",	2024-02-08,Piero Serra
PRIESTLEY GLACIER,,,,Operational,Partly operational,Land (fixed),0-20000-0-89659|primary,Antarctica,,Italy,-73.6391666667,160.6455555556,1924,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: ANTON;AUT;CLIMAT(C) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"ANTON - deprecated:Closed, CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBON:Operational",	2016-04-28,
SITRY POINT,,	2015-03-23,	2016-11-24,Closed,Unknown,Land (fixed),0-20000-0-89646|primary,Antarctica,,Italy,-71.6525,148.6555555556,2094,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: ANTON;AUT;CLIMAT(C) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"ANTON - deprecated:Closed, CLIMAT(C) - deprecated:Closed, GOS General:Closed, RBON:Closed",	2019-05-13,Piero Serra
TALOS DOME,,	2003-02-08,,Operational,Unknown,Land (fixed),0-380-8-1|primary,Antarctica,,Italy,-72.8291,159.1933,2370,GPS,UTC+12,"Ente Nuove tecnologie Energia e Ambiente - Nat. Agency for new tech, Energy and Environment",www.climantartide.it,,,Polar - Frost,Snow and ice(Surface cover types (IGBP)),,A flat at middle relative elevation within plains of high altitude,0|0,"ANTON - deprecated:Closed, CLIMAT(C) - deprecated:Closed, RBON:Operational",	2019-09-30,Lucia Cappelletti
ALBENGA,,	1953-01-01,,Operational,Unknown,Land (fixed),0-20000-0-16122|primary,Europe,,Italy,44.0458333333,8.1255555556,45,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-04-28,
ALGHERO,,	1951-01-01,,Operational,Silent,Land (fixed),0-20000-0-16520|primary,Europe,,Italy,40.6311111111,8.2886111111,27,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2024-02-06,Piero Serra
AMENDOLA,,	1961-01-01,,Operational,Operational,Land (fixed),0-20000-0-16261|primary,Europe,,Italy,41.5380555556,15.7138888889,57,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;PH;SOLRA;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations; Solar radiation measurements.,,,,,,GOS General:Operational,	2023-04-28,Piero Serra
ANCONA,,	1951-01-01,,Operational,Silent,Land (fixed),0-20000-0-16190|primary,Europe,,Italy,43.6113888889,13.5252777778,141,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Operational,	2019-08-22,Piero Serra
AOSTA POLLEIN,,	1962-01-01,,Operational,Silent,Land (fixed),0-20000-0-16054|primary,Europe,,Italy,45.7347222222,7.3505555556,550,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Operational,	2023-04-28,Piero Serra
AREZZO,,	1957-01-01,,Operational,Operational,Land (fixed),0-20000-0-16172|primary,Europe,,Italy,43.4597222222,11.8455555556,248,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;RBSN(S);SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-04-20,Piero Serra
AVIANO (16036-0),,	1961-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-16036|primary,Europe,,Italy,46.0286111111,12.6033333333,126,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2023-12-08,Piero Serra
AVIANO (16037-0),,	1992-01-01,,Silent,Unknown,Land (fixed),0-20000-0-16037|primary,Europe,,Italy,46.0302777778,12.5991666667,113,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Stand-by,	2023-12-27,Piero Serra
AWS1 Forni,,	2005-09-26,,Operational,Unknown,Land (on ice) ,0-380-10-1|primary,Europe,,Italy,46.3951,10.5901,2675,GPS,UTC+1,Università degli studi statale di Milano,,www.esp.unimi.it,,Snow - Fully humid - Very cold winter,Permanent snow and ice(Surface cover types (GlobCover2009)),"Smooth (Mud flats, snow; no vegetation, no obstacles)",A flat at low relative elevation within mountains of high altitude,,GCW CryoNet station:Operational,	2023-11-25,Piero Serra
BARI,,	2004-09-13,,Operational,Silent,Land (fixed),0-20000-0-16271|primary,Europe,,Italy,41.1205555556,16.8836111111,10,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Operational,	2023-04-28,Piero Serra
BARI/PALESE,,	1986-01-01,,Operational,Operational,Land (fixed),0-20000-0-16270|primary,Europe,,Italy,41.1380555556,16.765,57,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"RBON:Operational, RBSN(S) - deprecated:Closed",	2024-01-30,Piero Serra
BERGAMO ORIO AL SERIO,,	1989-10-15,,Operational,Silent,Land (fixed),0-20000-0-16076|primary,Europe,,Italy,45.6688888889,9.7002777778,238,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2024-02-08,Piero Serra
BOLOGNA,,,,Operational,Partly operational,Land (fixed),0-20000-0-16132|primary,Europe,,Italy,44.5275,11.2886111111,51,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Operational,	2016-04-28,
