Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
ARTENARA,,	2003-01-01,,Operational,Unknown,Land (fixed),0-20000-0-60028|primary,Africa,,Spain,28.0186111111,-15.6144444444,1765,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RSD (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radar storm and meteorological phenomena detection.,,,,,,"GOS General:Operational, WRO:Operational",	2016-04-29,
CEUTA,,	1961-01-01,,Operational,Operational,Land (fixed),0-20000-0-60320|primary,Africa,,Spain,35.88873,-5.34697,87,GPS,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);SEA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: State of sea observations.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBON:Operational",	2017-03-28,José Miguel Gallardo Fernández
FUERTEVENTURA/AEROPUERTO,,	1952-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-60035|primary,Africa,,Spain,28.4447222222,-13.8630555556,25,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);METAR;RBCN;SPECI;SUMMER/ETE*;SUNDUR;WINTER/HIVER+ (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational",	2016-04-28,
HIERRO/AEROPUERTO,,,,Operational,Operational,Land (fixed),0-20000-0-60001|primary,Africa,,Spain,27.8188888889,-17.8888888889,32,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);METAR;RBCN;SPECI;SUMMER/ETE*;SUNDUR;WINTER/HIVER+ (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational",	2016-04-28,
IZANA,,	1916-01-01,,Operational,Operational,Land (fixed),0-20000-0-60010|primary,Africa,,Spain,28.3088888889,-16.4994444444,2371,,UTC+1,"AEMET, State Meteorological Agency ",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;BAPMON;CLIMAT(C);GSN;MONT;OZONE;RBCN;SOLRA;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Observations of cloud below the level of the station; Ozone observations; Solar radiation measurements; Total radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational",	2023-06-05,Natalia Prats Porta
LA ALDEA DE SAN NICOLAS,,	2008-06-11,,Operational,Unknown,Land (fixed),0-724-0-0000000000060027|primary,Africa,,Spain,28.0011,-15.8075,13,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,,,,,,,"GBON:Operational, GOS General:Operational",	2023-04-27,José Miguel Gallardo Fernández
LA GOMERA/AEROPUERTO,,	2003-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-60007|primary,Africa,,Spain,28.0297222222,-17.2144444444,219,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);M/B;METAR;SEA;SPECI;SUMMER/ETE*;SUNDUR;WINTER/HIVER+ (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; State of sea observations.,,,,,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBON:Operational",	2016-04-28,
LA PALMA/AEROPUERTO,,	1961-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-60005|primary,Africa,,Spain,28.6330555556,-17.755,33,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);METAR;RBCN;RBSN(S);SPECI;SUMMER/ETE*;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
LANZAROTE/AEROPUERTO,,,,Operational,Partly operational,Land (fixed),0-20000-0-60040|primary,Africa,,Spain,28.9519444444,-13.6002777778,14,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);GSN;METAR;RBCN;RBSN(S);SOLRA;SPECI;SUMMER/ETE*;SUNDUR;WINTER/HIVER+ (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
LAS PALMAS DE GRAN CANARIA/GANDO,,,,Operational,Operational,Land (fixed),0-20000-0-60030|primary,Africa,,Spain,27.9225,-15.3894444444,24,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);METAR;RBCN;RBSN(S);SEA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: State of sea observations.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
