Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,Program/Network approval status,	Last updated date,Last updated by
ABDENNIZI,,	2007-08-21,,Silent,Silent,Land (fixed),0-20000-0-60661|primary,Africa,,Algeria,25.2166666667,5.1166666667,800,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Stand-by,GOS General:Approved,	2024-09-18,Abdelhadi HARROUZ
ADEB LERRACH,,	2007-08-31,,Operational,Silent,Land (fixed),0-20000-0-60623|primary,Africa,,Algeria,27.4,8.8333333333,521,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2024-09-18,Abdelhadi HARROUZ
ADRAR,,	1963-01-01,,Operational,Operational,Land (fixed),0-20000-0-60620|primary,Africa,,Algeria,27.83718,-0.19364,279.23,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Desert - Hot arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within plains of low altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2024-10-13,Abdelhadi HARROUZ
AFARA,,	2008-04-14,,Operational,Partly operational,Land (fixed),0-20000-0-60677|primary,Africa,,Algeria,25.3333333333,7.8,1240,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2024-10-09,Abdelhadi HARROUZ
AIN DEFLA,,	2014-02-01,,Operational,Operational,Land (fixed),0-12-0-44DEFCN60429|primary,Africa,,Algeria,36.26511,1.94852,292,GPS,UTC+1,Office National de la Meteorologie Algeria,,,,Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of middle altitude,,GOS General:Operational,GOS General:Approved,	2024-04-21,Abdelhadi HARROUZ
AIN-BESSAM,,	2001-01-01,,Operational,Operational,Land (fixed),0-20000-0-60415|primary,Africa,,Algeria,36.2846,3.68946,748,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;METAR;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm temperate - Dry and hot summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within valleys of middle altitude,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBON:Operational","CLIMAT(C) - deprecated:Approved,GOS General:Approved,RBON:Approved",	2021-09-08,Mohamed Mezred
AIN-SEFRA,,	1889-01-01,,Operational,Operational,Land (fixed),0-20000-0-60560|primary,Africa,,Algeria,32.75197,-0.59401,1076,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Desert - Cold arid,Sparse (<15%) vegetation(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of high altitude,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2021-09-08,Mohamed Mezred
ALGER PORT,,	1963-01-01,,Operational,Operational,Land (fixed),0-12-0-16ALGCN60369|primary,Africa,,Algeria,36.77451,3.06243,9.3,GPS,UTC+1,Office National de la Meteorologie Algeria,,,,,,,,,"GOS General:Operational, RBON","GOS General:Approved,RBON:Pending",	2024-10-02,Abdelhadi HARROUZ
AMGUID,,	2008-03-27,,Operational,Partly operational,Land (fixed),0-20000-0-60650|primary,Africa,,Algeria,26.4166666667,5.3666666667,614,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2024-10-09,Abdelhadi HARROUZ
ANESBARAKA,,	2008-07-16,,Operational,Partly operational,Land (fixed),0-20000-0-60691|primary,Africa,,Algeria,19.4333333333,4.65,477,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2024-10-02,Abdelhadi HARROUZ
