station_name ,wigos_station_identifier,traditional_station_identifier ,facility_type,latitude,longitude,elevation,barometer_height,territory_name,wmo_region,Last updated by,Declared reporting status,Assessed reporting status
AADORF / TAENIKON,0-20000-0-06679,06679,Land (fixed),47.479894,8.904917,539,,Switzerland,6,CHE NMHS ,Operational,Partly operational
ABDENNIZI,0-20000-0-60661,60661,Land (fixed),25.2166666667,5.1166666667,800,,Algeria,1,Mohamed Mezred,Operational,Unknown
ABLA,0-724-0-0000000000008427,08427,Land (fixed),37.1413,-2.78,869,,Spain,6,José Miguel Gallardo Fernández,Operational,Partly operational
ABU NJAYM,0-20000-0-62018,62018,Land (fixed),30.3552,15.2542,90.48,,Libya,1,Faraj M ZAYET,Operational,Partly operational
ACHENKIRCH CAMPINGPLATZ,0-20000-0-11266,11266,Land (fixed),47.4994430542,11.7066669464,931,,Austria,6,Silke Adler,Operational,Unknown
ACQUAROSSA / COMPROVASCO,0-20000-0-06756,06756,Land (fixed),46.459522,8.935481,575.32,,Switzerland,6,CHE NMHS ,Operational,Partly operational
ADEB LERRACH,0-20000-0-60623,60623,Land (fixed),27.4,8.8333333333,521,,Algeria,1,Mohamed Mezred,Operational,Partly operational
ADELBODEN,0-20000-0-06735,06735,Land (fixed),46.492261,7.560422,1322.3,,Switzerland,6,CHE NMHS ,Operational,Partly operational
"ADRA,CLUB NAÚTICO",0-724-0-0000000000008486,08486,Land (fixed),36.7471,-3.0205,8,,Spain,6,José Miguel Gallardo Fernández,Operational,Partly operational
ADRAR,0-20000-0-60620,60620,Land (fixed),27.83718,-0.19364,279.23,,Algeria,1,Abdelhadi HARROUZ,Operational,Partly operational
AFARA,0-20000-0-60677,60677,Land (fixed),25.3333333333,7.8,1240,,Algeria,1,,Operational,Partly operational
AFLENZ,0-20000-0-11375,11375,Land (fixed),47.5458335876,15.2408332825,783,,Austria,6,AUT NMHS,Operational,Partly operational
AGADEZ,0-20000-0-61024,61024,Land (fixed),16.9666666667,7.9833333333,501,,Niger,1,Jémilatou Abdoulaye,Operational,Partly operational
Agadir,0-20000-0-60250,60250,Land (fixed),30.3833333333,-9.5666666667,18,,Morocco,1,MAR NMHS ,Operational,Partly operational
Agárd,"0-348-1-35315,0-20000-0-12846",12846,Land (fixed),47.19,18.583611,104.3,,Hungary,6,Imre Szöllősi,Operational,Operational
Agdz,"0-504-1-60316,0-504-0-60316",60316,Land (fixed),30.686388,-6.55944,942,,Morocco,1,Mounir Aziz,Operational,Unknown
AGEDABIA,0-20000-0-62055,62055,Land (fixed),30.7166666667,20.1666666667,6,,Libya,1,Faraj M ZAYET,Operational,Partly operational
AGEN,0-20000-0-07524,07524,Land (fixed),44.1722222222,0.5947222222,62,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Partly operational
ÁGUILAS,0-724-0-0000000000008432,08432,Land (fixed),37.4172,-1.5868,32,,Spain,6,José Antonio Fernández Monistrol,Partly operational,Unknown
AGUION,0-20000-0-08019,08019,Land (fixed),43.4625,-6.3019444444,923,,Spain,6,,Operational,Partly operational
AIGEN IM ENNSTAL,0-20000-0-11157,11157,Land (fixed),47.5327777778,14.1383333333,641.1,,Austria,6,Silke Adler,Operational,Unknown
AIGLE,0-20000-0-06712,06712,Land (fixed),46.326644,6.924478,381.02,,Switzerland,6,CHE NMHS ,Operational,Unknown
Ain Bni Mathar,0-504-1-60282,60282,Land (fixed),34.2425,-2.02688,936,,Morocco,1,MAR NMHS ,Operational,Partly operational
AIN DEFLA,0-12-0-44DEFCN60429,60429,Land (fixed),36.26511,1.94852,292,,Algeria,1,Abdelhadi HARROUZ,Operational,Partly operational
AIN-BESSAM,0-20000-0-60415,60415,Land (fixed),36.2846,3.68946,748,,Algeria,1,Mohamed Mezred,Operational,Silent
AIN-SEFRA,0-20000-0-60560,60560,Land (fixed),32.75197,-0.59401,1076,,Algeria,1,Mohamed Mezred,Operational,Unknown
AIOUN EL ATROUSS,0-20000-0-61499,61499,Land (fixed),16.7,-9.6,223.4,,Mauritania,1,Fatma El Jili,Operational,Unknown
Ait Daoud,0-504-1-60236,60236,Land (fixed),31.08333,-9.35,351,,Morocco,1,MAR NMHS ,Operational,Partly operational
Aït Melloul,0-20000-0-60252,60252,Land (fixed),30.3288888889,-9.3994444444,74,,Morocco,1,Mounir Aziz,Operational,Partly operational
Ait Ourir,0-504-1-60309,60309,Land (fixed),31.55,-7.6667,936,,Morocco,1,MAR NMHS ,Operational,Unknown
AJACCIO,0-20000-0-07761,07761,Land (fixed),41.9180555556,8.7927777778,6,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Unknown
AKJOUJT,0-20000-0-61437,61437,Land (fixed),19.75,-14.3666666667,118.42,,Mauritania,1,Fatma El Jili,Operational,Partly operational
Akka,0-504-1-60301,60301,Land (fixed),29.391944,-8.25777,540,,Morocco,1,MAR NMHS ,Operational,Unknown
Aknoul,0-504-1-60186,60186,Land (fixed),34.6469,-3.86472,1012,,Morocco,1,MAR NMHS ,Operational,Partly operational
AKTION (AIRPORT),0-20000-0-16643,16643,Land (fixed),38.9219444444,20.7688,1.47,,Greece,6,Nick KALAMARAS,Operational,Partly operational
AL HOCEIMA,0-20000-0-60107,60107,Land (fixed),35.1833333333,-3.85,27,,Morocco,1,,Operational,Partly operational
AL-MARJ,0-20000-0-62054,62054,Land (fixed),32.5166666667,20.8833333333,334,,Libya,1,Faraj M ZAYET,Operational,Partly operational
"ALAJAR, CABEZO MOLINOS",0-724-0-0000000000008380,08380,Land (fixed),37.8686,-6.6749,572,,Spain,6,José Antonio Fernández Monistrol,Operational,Partly operational
"ALBACETE,OBS.",0-724-0-0000000000008279,08279,Land (fixed),39.0055,-1.8623,676,,Spain,6,José Miguel Gallardo Fernández,Operational,Partly operational
ALBACETE/LOS LLANOS,0-20000-0-08280,08280,Land (fixed),38.9516666667,-1.8625,702,,Spain,6,,Operational,Unknown
ALBENGA,0-20000-0-16122,16122,Land (fixed),44.0458333333,8.1255555556,45,,Italy,6,,Operational,Partly operational
ALBERSCHWENDE,0-20000-0-11301,11301,Land (fixed),47.4575004578,9.848610878,715,,Austria,6,AUT NMHS,Operational,Partly operational
ALBI,0-20000-0-07632,07632,Land (fixed),43.9147222222,2.1163888889,172,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Silent
ALBIS,0-20000-0-06661,06661,Land (fixed),47.2841666667,8.5119444444,928,,Switzerland,6,,Operational,Partly operational
ALCAÑIZ,0-724-0-0000000000008164,08164,Land (fixed),41.058,-0.1415,334,,Spain,6,José Antonio Fernández Monistrol,Operational,Partly operational
ALEG,0-20000-0-61470,61470,Land (fixed),17.11,-14.53,45,,Mauritania,1,Fatma El Jili,Operational,Operational
ALERIA RADAR,0-20000-0-07774,07774,Land (fixed),42.1297222222,9.4963888889,50,,France,6,Léa LABEUR,Operational,Partly operational
ALGER PORT,0-12-0-16ALGCN60369,60369,Land (fixed),36.77451,3.06243,9.3,,Algeria,1,Abdelhadi HARROUZ,Operational,Partly operational
ALGHERO,0-20000-0-16520,16520,Land (fixed),40.6311111111,8.2886111111,27,,Italy,6,Piero Serra,Operational,Operational
ALHAURIN EL GRANDE,0-20000-0-08475,08475,Land (fixed),36.6133333333,-4.6591666667,1147,,Spain,6,,Operational,Partly operational
ALICANTE,0-20000-0-08359,08359,Land (fixed),38.3725,-0.4941666667,81,,Spain,6,,Operational,Partly operational
ALICANTE/EL ALTET,0-20000-0-08360,08360,Land (fixed),38.2827777778,-0.5708333333,43,,Spain,6,José Miguel Gallardo Fernández,Operational,Unknown
ALISTRO,0-20000-0-07775,07775,Land (fixed),42.2597222222,9.5413888889,65,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Partly operational
